date,away_team,home_team,spread,pick,pick_spread,confidence,edge,spread_tier,units,away_score,home_score,result
2026-02-09,Central Arkansas,North Alabama,6.5,Central Arkansas,Central Arkansas -6.5,98.5%,-10.6,SMALL (<10),1.5,,,
2026-02-09,East Texas A&M,Stephen F. Austin,-15.5,Stephen F. Austin,Stephen F. Austin -15.5,99.5%,9.7,BIG (15+),0.5,,,
2026-02-09,Xavier,St. John's,-11.5,St. John's,St. John's -11.5,94.5%,9.6,MID (10-14),2.0,,,
2026-02-09,Illinois St.,Evansville,10.5,Illinois St.,Illinois St. -10.5,99.5%,-7.7,MID (10-14),2.0,,,
2026-02-09,Oregon,Indiana,-10.5,Indiana,Indiana -10.5,90.1%,7.2,MID (10-14),2.0,,,
2026-02-09,Northwestern St.,Lamar,-6.5,Lamar,Lamar -6.5,90.1%,7.0,SMALL (<10),1.5,,,
2026-02-09,Jackson St.,Arkansas Pine Bluff,-6.5,Arkansas Pine Bluff,Arkansas Pine Bluff -6.5,85.2%,6.8,SMALL (<10),1.5,,,
2026-02-09,Belmont,Bradley,1.5,Belmont,Belmont -1.5,92.6%,-6.3,SMALL (<10),1.5,,,
2026-02-09,Houston Christian,McNeese St.,-21.5,McNeese St.,McNeese St. -21.5,99.6%,6.0,BIG (15+),0.5,,,
2026-02-09,Yale,Howard,6.5,Yale,Yale -6.5,97.7%,-5.5,SMALL (<10),1.5,,,
2026-02-09,Alabama A&M,Grambling St.,-4.5,Grambling St.,Grambling St. -4.5,78.1%,5.4,SMALL (<10),1.0,,,
2026-02-09,Texas Southern,Bethune Cookman,-7.5,Bethune Cookman,Bethune Cookman -7.5,87.9%,5.2,SMALL (<10),1.5,,,
2026-02-09,Valparaiso,Drake,-3.5,Valparaiso,Valparaiso +3.5,75.6%,-4.5,SMALL (<10),1.0,,,
2026-02-09,Alcorn St.,Mississippi Valley St.,5.5,Alcorn St.,Alcorn St. -5.5,78.4%,-3.1,SMALL (<10),1.0,,,
2026-02-09,Alabama St.,Southern,-6.5,Southern,Southern -6.5,78.0%,3.1,SMALL (<10),1.0,,,
2026-02-10,Purdue,Nebraska,10.5,Nebraska,Nebraska +10.5,66.0%,9.8,MID (10-14),1.5,,,
2026-02-10,Wisconsin,Illinois,-7.5,Illinois,Illinois -7.5,72.9%,8.7,SMALL (<10),0.5,,,
2026-02-10,Marquette,Villanova,-7.5,Villanova,Villanova -7.5,76.0%,7.8,SMALL (<10),1.0,,,
2026-02-10,Notre Dame,SMU,-8.5,SMU,SMU -8.5,75.3%,5.9,SMALL (<10),1.0,,,
2026-02-10,Fordham,Saint Joseph's,-3.5,Saint Joseph's,Saint Joseph's -3.5,73.9%,5.0,SMALL (<10),0.5,,,
2026-02-11,Pepperdine,Saint Mary's,-24.5,Saint Mary's,Saint Mary's -24.5,87.9%,7.2,BIG (15+),0.5,,,
2026-02-11,Seattle,Santa Clara,-11.5,Santa Clara,Santa Clara -11.5,77.9%,6.2,MID (10-14),1.5,,,
2026-02-11,Bellarmine,Central Arkansas,-8.5,Central Arkansas,Central Arkansas -8.5,77.9%,6.0,SMALL (<10),1.0,,,
2026-02-11,Colorado,Texas Tech,-13.5,Texas Tech,Texas Tech -13.5,77.2%,5.8,MID (10-14),1.5,,,
2026-02-11,Chattanooga,East Tennessee St.,-10.5,East Tennessee St.,East Tennessee St. -10.5,79.4%,5.2,MID (10-14),1.5,,,
2026-02-11,UAB,Tulsa,-9.5,Tulsa,Tulsa -9.5,76.9%,4.4,SMALL (<10),1.0,,,
2026-02-11,Virginia Tech,Clemson,-8.5,Clemson,Clemson -8.5,73.5%,3.9,SMALL (<10),0.5,,,
2026-02-11,UTEP,Jacksonville St.,-6.5,Jacksonville St.,Jacksonville St. -6.5,75.5%,3.8,SMALL (<10),1.0,,,
2026-02-11,Louisiana Monroe,Arkansas St.,-20.5,Arkansas St.,Arkansas St. -20.5,83.5%,3.7,BIG (15+),0.5,,,
2026-02-11,VMI,UNC Greensboro,-8.5,UNC Greensboro,UNC Greensboro -8.5,73.3%,3.6,SMALL (<10),0.5,,,
2026-02-12,Purdue Fort Wayne,Green Bay,1.5,Green Bay,Green Bay +1.5,71.3%,7.6,SMALL (<10),0.5,,,
2026-02-12,Louisiana Tech,Missouri St.,-4.5,Missouri St.,Missouri St. -4.5,75.5%,5.9,SMALL (<10),1.0,,,
2026-02-12,Delaware,FIU,-7.5,FIU,FIU -7.5,76.0%,3.8,SMALL (<10),1.0,,,
2026-02-12,Southeast Missouri St.,SIU Edwardsville,1.5,SIU Edwardsville,SIU Edwardsville +1.5,67.1%,3.7,SMALL (<10),0.5,,,
2026-02-13,Saint Louis,Loyola Chicago,17.5,Saint Louis,Saint Louis -17.5,68.1%,-17.0,BIG (15+),0.5,,,
2026-02-13,Ohio,Miami OH,-8.5,Miami OH,Miami OH -8.5,80.3%,7.9,SMALL (<10),1.0,,,
2026-02-13,Manhattan,Niagara,2.5,Niagara,Niagara +2.5,66.4%,4.4,SMALL (<10),0.5,,,
2026-02-13,Brown,Harvard,-7.5,Harvard,Harvard -7.5,76.4%,3.8,SMALL (<10),1.0,,,
2026-02-13,George Mason,George Washington,-3.5,George Washington,George Washington -3.5,71.6%,3.6,SMALL (<10),0.5,,,
2026-02-14,High Point,Gardner Webb,25.5,High Point,High Point -25.5,66.6%,-9.5,BIG (15+),0.5,,,
2026-02-14,Kansas St.,Houston,-22.5,Houston,Houston -22.5,81.7%,8.6,BIG (15+),0.5,,,
2026-02-14,Pittsburgh,North Carolina,-10.5,North Carolina,North Carolina -10.5,78.0%,7.4,MID (10-14),1.5,,,
2026-02-14,Mississippi Valley St.,Alabama A&M,-15.5,Alabama A&M,Alabama A&M -15.5,77.4%,7.0,BIG (15+),0.5,,,
2026-02-14,Bellarmine,Austin Peay,-9.5,Austin Peay,Austin Peay -9.5,79.6%,6.9,SMALL (<10),1.0,,,
2026-02-14,Georgetown,Connecticut,-16.5,Connecticut,Connecticut -16.5,77.6%,5.6,BIG (15+),0.5,,,
2026-02-14,Air Force,Fresno St.,-16.5,Fresno St.,Fresno St. -16.5,83.3%,5.5,BIG (15+),0.5,,,
2026-02-14,Louisiana Monroe,Texas St.,-12.5,Texas St.,Texas St. -12.5,78.4%,5.5,MID (10-14),1.5,,,
2026-02-14,UC Riverside,UC San Diego,-9.5,UC San Diego,UC San Diego -9.5,79.4%,5.3,SMALL (<10),1.0,,,
2026-02-14,Louisiana Tech,FIU,-2.5,FIU,FIU -2.5,73.2%,5.3,SMALL (<10),0.5,,,
2026-02-14,Little Rock,Eastern Illinois,2.5,Eastern Illinois,Eastern Illinois +2.5,66.6%,4.7,SMALL (<10),0.5,,,
2026-02-14,Maryland Eastern Shore,Howard,-11.5,Howard,Howard -11.5,77.4%,4.6,MID (10-14),1.5,,,
2026-02-14,Bryant,Vermont,-12.5,Vermont,Vermont -12.5,77.1%,4.4,MID (10-14),1.5,,,
2026-02-14,South Carolina,Alabama,-17.5,Alabama,Alabama -17.5,78.7%,4.4,BIG (15+),0.5,,,
2026-02-14,Northwestern,Nebraska,-12.5,Nebraska,Nebraska -12.5,75.4%,4.2,MID (10-14),1.5,,,
2026-02-14,Army,American,-9.5,American,American -9.5,75.5%,4.0,SMALL (<10),1.0,,,
2026-02-14,Chicago St.,Le Moyne,-6.5,Le Moyne,Le Moyne -6.5,72.8%,3.7,SMALL (<10),0.5,,,
2026-02-14,West Georgia,Central Arkansas,-11.5,Central Arkansas,Central Arkansas -11.5,78.4%,3.4,MID (10-14),1.5,,,
2026-02-14,Georgia Tech,Notre Dame,-5.5,Notre Dame,Notre Dame -5.5,73.8%,3.3,SMALL (<10),0.5,,,
2026-02-14,Kentucky,Florida,-13.5,Florida,Florida -13.5,73.3%,3.3,MID (10-14),1.5,,,
2026-02-14,Western Michigan,Eastern Michigan,-6.5,Eastern Michigan,Eastern Michigan -6.5,74.0%,3.3,SMALL (<10),0.5,,,
