today,prior,today_h1_frac,today_h1_price,prior_m5_frac,prior_m5_price,dist_pts,tol_pts,h1_range,days_back
2026-03-05,2026-03-04,-0.25,24906.5,0.75,24908.125,1.625,2.25,225.0,1
2026-03-05,2026-03-04,0.0,24962.75,1.25,24962.875,0.125,2.25,225.0,1
2026-03-05,2026-03-04,0.25,25019.0,1.75,25017.625,1.375,2.25,225.0,1
2026-03-09,2026-03-06,2.0,24737.5,1.25,24737.3125,0.1875,2.1225,212.25,3
2026-03-10,2026-03-04,-0.5,24880.0,0.5,24880.75,0.75,1.345,134.5,6
2026-03-10,2026-03-05,1.75,25182.625,1.5,25182.625,0.0,1.345,134.5,5
2026-03-11,2026-03-04,-1.0,24771.5,-0.5,24771.25,0.25,1.72,172.0,7
2026-03-11,2026-03-05,0.25,24986.5,-0.5,24987.125,0.625,1.72,172.0,6
2026-03-11,2026-03-05,1.25,25158.5,1.25,25158.1875,0.3125,1.72,172.0,6
2026-03-11,2026-03-10,0.75,25072.5,1.25,25071.875,0.625,1.72,172.0,1
2026-03-12,2026-03-04,0.75,24797.1875,-0.25,24798.625,1.4375,2.2225,222.25,8
2026-03-12,2026-03-04,1.0,24852.75,0.25,24853.375,0.625,2.2225,222.25,8
2026-03-12,2026-03-04,1.25,24908.3125,0.75,24908.125,0.1875,2.2225,222.25,8
2026-03-12,2026-03-04,1.5,24963.875,1.25,24962.875,1.0,2.2225,222.25,8
2026-03-12,2026-03-04,1.75,25019.4375,1.75,25017.625,1.8125,2.2225,222.25,8
2026-03-12,2026-03-05,1.5,24963.875,-0.75,24962.6875,1.1875,2.2225,222.25,7
2026-03-12,2026-03-06,-0.25,24574.9375,-0.75,24574.8125,0.125,2.2225,222.25,6
2026-03-12,2026-03-06,0.75,24797.1875,2.0,24798.25,1.0625,2.2225,222.25,6
2026-03-12,2026-03-10,1.5,24963.875,-0.5,24964.25,0.375,2.2225,222.25,2
2026-03-12,2026-03-11,1.75,25019.4375,-0.25,25020.0625,0.625,2.2225,222.25,1
2026-03-13,2026-03-04,1.25,24853.8125,0.25,24853.375,0.4375,1.9425000000000001,194.25,9
2026-03-13,2026-03-06,0.75,24756.6875,1.5,24757.625,0.9375,1.9425000000000001,194.25,7
2026-03-13,2026-03-12,0.0,24611.0,-0.75,24609.3125,1.6875,1.9425000000000001,194.25,1
2026-03-13,2026-03-12,1.25,24853.8125,2.0,24854.75,0.9375,1.9425000000000001,194.25,1
2026-03-16,2026-03-04,1.25,24770.5,-0.5,24771.25,0.75,1.18,118.0,12
2026-03-16,2026-03-13,1.75,24829.5,1.5,24830.25,0.75,1.18,118.0,3
2026-03-17,2026-03-04,-1.0,24742.0,-0.75,24743.875,1.875,1.875,187.5,13
2026-03-17,2026-03-04,-0.25,24882.625,0.5,24880.75,1.875,1.875,187.5,13
2026-03-17,2026-03-10,0.75,25070.125,1.25,25071.875,1.75,1.875,187.5,7
2026-03-17,2026-03-10,1.0,25117.0,2.0,25118.0,1.0,1.875,187.5,7
2026-03-17,2026-03-12,-1.0,24742.0,0.75,24743.1875,1.1875,1.875,187.5,5
2026-03-17,2026-03-12,-0.75,24788.875,1.25,24787.8125,1.0625,1.875,187.5,5
2026-03-17,2026-03-13,-1.0,24742.0,-0.25,24742.75,0.75,1.875,187.5,4
2026-03-18,2026-03-05,2.0,25132.5,1.0,25133.75,1.25,1.3425,134.25,13
2026-03-18,2026-03-10,0.75,24964.6875,-0.5,24964.25,0.4375,1.3425,134.25,8
2026-03-18,2026-03-11,1.5,25065.375,0.5,25066.375,1.0,1.3425,134.25,7
2026-03-18,2026-03-13,-1.0,24729.75,-0.5,24730.25,0.5,1.3425,134.25,5
2026-03-18,2026-03-13,-0.25,24830.4375,1.5,24830.25,0.1875,1.3425,134.25,5
2026-03-18,2026-03-17,2.0,25132.5,1.25,25132.375,0.125,1.3425,134.25,1
2026-03-19,2026-03-04,2.0,24715.75,-1.0,24716.5,0.75,1.945,194.5,15
2026-03-19,2026-03-06,2.0,24715.75,1.0,24717.0,1.25,1.945,194.5,13
2026-03-19,2026-03-09,0.0,24326.75,-0.25,24325.0625,1.6875,1.945,194.5,10
2026-03-19,2026-03-16,1.5,24618.5,-0.75,24619.5,1.0,1.945,194.5,3
2026-03-19,2026-03-16,1.75,24667.125,0.0,24669.0,1.875,1.945,194.5,3
2026-03-20,2026-03-09,0.25,24341.6875,0.0,24344.0,2.3125,2.4775,247.75,11
2026-03-20,2026-03-12,1.25,24589.4375,-1.0,24587.0,2.4375,2.4775,247.75,8
2026-03-20,2026-03-16,1.5,24651.375,-0.25,24652.5,1.125,2.4775,247.75,4
2026-03-20,2026-03-19,0.25,24341.6875,-0.75,24342.4375,0.75,2.4775,247.75,1
2026-03-20,2026-03-19,1.0,24527.5,2.0,24526.0,1.5,2.4775,247.75,1
2026-03-23,2026-03-06,0.75,24594.125,-0.5,24595.125,1.0,2.1550000000000002,215.5,17
2026-03-23,2026-03-06,1.5,24755.75,1.5,24757.625,1.875,2.1550000000000002,215.5,17
2026-03-23,2026-03-09,-0.5,24324.75,-0.25,24325.0625,0.3125,2.1550000000000002,215.5,14
2026-03-23,2026-03-12,1.75,24809.625,1.5,24810.125,0.5,2.1550000000000002,215.5,11
2026-03-23,2026-03-13,1.5,24755.75,0.0,24755.25,0.5,2.1550000000000002,215.5,10
2026-03-23,2026-03-16,1.25,24701.875,0.5,24702.0,0.125,2.1550000000000002,215.5,7
2026-03-23,2026-03-19,-0.5,24324.75,-1.0,24325.75,1.0,2.1550000000000002,215.5,4
2026-03-23,2026-03-20,0.25,24486.375,1.25,24486.0,0.375,2.1550000000000002,215.5,3
2026-03-24,2026-03-09,1.25,24363.375,0.25,24362.9375,0.4375,1.835,183.5,15
2026-03-24,2026-03-19,1.5,24409.25,0.25,24409.1875,0.0625,1.835,183.5,5
2026-03-24,2026-03-20,1.75,24455.125,0.75,24454.0,1.125,1.835,183.5,4
2026-03-24,2026-03-20,2.0,24501.0,1.5,24502.0,1.0,1.835,183.5,4
