frac,h1_total_touches,h1_mean_touches_per_day,h1_pct_days_touched,m5_total_touches,m5_mean_touches_per_day,m5_pct_days_touched
-1.0,48,1.1428571428571428,21.428571428571427,266,6.333333333333333,59.523809523809526
-0.75,86,2.0476190476190474,28.57142857142857,305,7.261904761904762,59.523809523809526
-0.5,119,2.8333333333333335,33.33333333333333,303,7.214285714285714,59.523809523809526
-0.25,173,4.119047619047619,50.0,271,6.4523809523809526,71.42857142857143
0.0,301,7.166666666666667,57.14285714285714,270,6.428571428571429,78.57142857142857
0.25,287,6.833333333333333,76.19047619047619,259,6.166666666666667,78.57142857142857
0.5,288,6.857142857142857,85.71428571428571,258,6.142857142857143,78.57142857142857
0.75,277,6.595238095238095,83.33333333333334,256,6.095238095238095,76.19047619047619
1.0,232,5.523809523809524,73.80952380952381,256,6.095238095238095,78.57142857142857
1.25,143,3.4047619047619047,57.14285714285714,271,6.4523809523809526,78.57142857142857
1.5,120,2.857142857142857,40.476190476190474,247,5.880952380952381,76.19047619047619
1.75,131,3.119047619047619,35.714285714285715,212,5.0476190476190474,76.19047619047619
2.0,161,3.8333333333333335,30.952380952380953,208,4.9523809523809526,69.04761904761905
