game_date,home_team,away_team,home_score,away_score,spread,location,home_conf,away_conf,torvik_predicted_margin
2025-11-03,Belmont,Air Force,79,63,-3.84803,H,MVC,MWC,3.84803
2025-11-03,Marquette,Albany,80,53,-9.44141,H,BE,AE,9.44141
2025-11-03,Wake Forest,American,88,74,-8.55171,H,ACC,Pat,8.55171
2025-11-03,Central Michigan,Appalachian St.,82,66,-11.7458,H,MAC,SB,11.7458
2025-11-03,Arizona,Florida,93,87,0.880833,N,B12,SEC,0.880833
2025-11-03,Washington,Arkansas Pine Bluff,94,50,-16.083,H,B10,SWAC,16.083
2025-11-03,Ohio,Arkansas St.,85,89,-1.74875,H,MAC,SB,1.74875
2025-11-03,Georgia,Bellarmine,104,59,-12.8519,H,SEC,ASun,12.8519
2025-11-03,Auburn,Bethune Cookman,95,90,-1.23583,H,SEC,SWAC,1.23583
2025-11-03,Syracuse,Binghamton,85,47,-15.5211,H,ACC,AE,15.5211
2025-11-03,Florida Atlantic,Boston College,83,78,-2.45292,H,Amer,ACC,2.45292
2025-11-03,Northeastern,Boston University,75,76,-2.02667,H,CAA,Pat,2.02667
2025-11-03,Bradley,St. Bonaventure,63,69,-4.45167,N,MVC,A10,-4.45167
2025-11-03,Siena,Bryant,82,66,-10.0579,H,MAAC,AE,10.0579
2025-11-03,BYU,Villanova,71,66,5.49181,N,B12,BE,5.49181
2025-11-03,USC,Cal Poly,94,64,-9.33098,H,B10,BW,9.33098
2025-11-03,California,Cal St. Bakersfield,87,60,-11.463,H,ACC,BW,11.463
2025-11-03,Wisconsin,Campbell,96,64,-6.33471,H,B10,CAA,6.33471
2025-11-03,Dayton,Canisius,88,48,-18.0347,H,A10,MAAC,18.0347
2025-11-03,North Carolina,Central Arkansas,94,54,-21.0904,H,ACC,ASun,21.0904
2025-11-03,Virginia Tech,Charleston Southern,98,67,-7.557,H,ACC,BSth,7.557
2025-11-03,DePaul,Chicago St.,92,62,-16.9568,H,BE,NEC,16.9568
2025-11-03,Loyola Chicago,Cleveland St.,91,88,-2.23958,H,A10,Horz,2.23958
2025-11-03,Western Michigan,Coastal Carolina,76,71,1.24874,H,MAC,SB,-1.24874
2025-11-03,Michigan St.,Colgate,80,69,-5.57456,H,B10,Pat,5.57456
2025-11-03,Coppin St.,Maryland,61,83,-11.2255,N,MEAC,B10,-11.2255
2025-11-03,Bucknell,Delaware,78,70,-6.11583,H,Pat,CUSA,6.11583
2025-11-03,Seattle,Denver,84,73,-6.08604,H,WCC,Sum,6.08604
2025-11-03,Illinois Chicago,Detroit Mercy,91,71,-3.88884,H,MVC,Horz,3.88884
2025-11-03,Drake,Northern Arizona,77,71,0.3,N,MVC,BSky,0.3
2025-11-03,UCLA,Eastern Washington,80,74,-6.83544,H,B10,BSky,6.83544
2025-11-03,Penn St.,Fairfield,76,68,1.95434,H,B10,MAAC,-1.95434
2025-11-03,Iowa St.,Fairleigh Dickinson,88,50,-18.6037,H,B12,NEC,18.6037
2025-11-03,South Florida,Florida A&M,102,67,-10.2359,H,Amer,SWAC,10.2359
2025-11-03,Furman,High Point,71,97,-13.1264,N,SC,BSth,-13.1264
2025-11-03,Minnesota,Gardner Webb,87,60,-23.589,H,B10,BSth,23.589
2025-11-03,Eastern Michigan,Georgia St.,71,49,-7.25702,H,MAC,SB,7.25702
2025-11-03,Kansas,Green Bay,94,51,-17.5914,H,B12,Horz,17.5914
2025-11-03,Milwaukee,Hampton,90,86,-5.65667,H,Horz,CAA,5.65667
2025-11-03,UCF,Hofstra,82,78,-1.19708,H,B12,CAA,1.19708
2025-11-03,Providence,Holy Cross,89,79,-9.70765,H,BE,Pat,9.70765
