"date","type","neutral","home","away","game_id","year"
2024-11-04,"nond1",FALSE,"Tulsa","Northeastern St.","Northeastern St.Tulsa11-4",2025
2024-11-04,"nc",FALSE,"Tennessee","Gardner Webb","Gardner WebbTennessee11-4",2025
2024-11-04,"nond1",FALSE,"Houston Christian","Avila","AvilaHouston Christian11-4",2025
2024-11-04,"nond1",FALSE,"Stonehill","Framingham St.","Framingham St.Stonehill11-4",2025
2024-11-04,"nc",FALSE,"North Carolina","Elon","ElonNorth Carolina11-4",2025
2024-11-04,"nond1",FALSE,"Drake","York (NE)","York (NE)Drake11-4",2025
2024-11-04,"nond1",FALSE,"William & Mary","Dickinson","DickinsonWilliam & Mary11-4",2025
2024-11-04,"nc",FALSE,"Clemson","Charleston Southern","Charleston SouthernClemson11-4",2025
2024-11-04,"nond1",FALSE,"New Mexico St.","N.M. Highlands","N.M. HighlandsNew Mexico St.11-4",2025
2024-11-04,"nond1",FALSE,"Oakland","Defiance","DefianceOakland11-4",2025
2024-11-04,"nc",FALSE,"Mississippi St.","West Georgia","West GeorgiaMississippi St.11-4",2025
2024-11-04,"nc",FALSE,"Seton Hall","Saint Peter's","Saint Peter'sSeton Hall11-4",2025
2024-11-04,"nc",FALSE,"Western Kentucky","Wichita St.","Wichita St.Western Kentucky11-4",2025
2024-11-04,"nond1",FALSE,"Lamar","Paul Quinn","Paul QuinnLamar11-4",2025
2024-11-04,"nond1",FALSE,"Grambling St.","Southern-N.O.","Southern-N.O.Grambling St.11-4",2025
2024-11-04,"nond1",FALSE,"UTSA","Trinity (TX)","Trinity (TX)UTSA11-4",2025
2024-11-04,"nond1",FALSE,"Abilene Christian","Howard Payne","Howard PayneAbilene Christian11-4",2025
2024-11-04,"nond1",FALSE,"Illinois Chicago","St. Francis (IL)","St. Francis (IL)Illinois Chicago11-4",2025
2024-11-04,"nc",FALSE,"Harvard","Marist","MaristHarvard11-4",2025
2024-11-04,"nond1",FALSE,"Furman","Columbia Int'l","Columbia Int'lFurman11-4",2025
2024-11-04,"nond1",FALSE,"Southern Utah","Western New Mexico","Western New MexicoSouthern Utah11-4",2025
2024-11-04,"nc",FALSE,"UNLV","Alabama St.","Alabama St.UNLV11-4",2025
