date,break_dir,break_ts,break_minutes_after_950,post_close_to_13,continuation_pts,post_mfe_in_dir,other_side_broken,candle_body_dir,agrees_with_candle,is_manip,manip_dir,agrees_with_manip,nine_bias,agrees_with_9am_bias
2025-05-02,-1,2025-05-02 09:51:00-04:00,1,20241.25,-195.0,26.75,True,-1,True,False,0,,-1,True
2025-05-05,-1,2025-05-05 09:51:00-04:00,1,20134.25,-111.5,14.5,True,1,False,False,0,,1,False
2025-05-06,-1,2025-05-06 09:50:00-04:00,0,19864.75,-67.75,58.75,True,-1,True,False,0,,-1,True
2025-05-07,1,2025-05-07 09:57:00-04:00,7,19898.75,-37.75,41.25,True,-1,False,False,0,,1,True
2025-05-08,-1,2025-05-08 10:08:00-04:00,18,20331.5,-270.5,83.0,True,-1,True,False,0,,-1,True
2025-05-09,-1,2025-05-09 09:52:00-04:00,2,20087.75,132.25,162.5,True,1,False,False,0,,1,False
2025-05-12,1,2025-05-12 09:50:00-04:00,0,20877.75,77.0,82.75,True,1,True,True,1,True,-1,False
2025-05-13,1,2025-05-13 09:50:00-04:00,0,21321.25,249.75,267.25,False,-1,False,False,0,,1,True
2025-05-14,-1,2025-05-14 09:56:00-04:00,6,21366.5,-89.5,4.25,True,-1,True,False,0,,1,False
2025-05-15,1,2025-05-15 10:01:00-04:00,11,21491.5,170.25,173.75,False,-1,False,False,0,,1,True
2025-05-16,1,2025-05-16 09:50:00-04:00,0,21427.5,-12.75,16.75,True,1,True,False,0,,1,True
2025-05-19,1,2025-05-19 10:01:00-04:00,11,21499.0,124.0,128.0,False,1,True,False,0,,1,True
2025-05-20,-1,2025-05-20 09:51:00-04:00,1,21458.5,-100.5,4.0,True,-1,True,False,0,,-1,True
2025-05-21,1,2025-05-21 09:50:00-04:00,0,21515.0,131.5,175.0,False,1,True,False,0,,1,True
2025-05-22,1,2025-05-22 09:50:00-04:00,0,21218.25,23.75,135.75,False,1,True,False,0,,1,True
2025-05-23,1,2025-05-23 10:00:00-04:00,10,20983.25,72.0,98.0,False,-1,False,False,0,,1,True
2025-05-26,-1,2025-05-26 09:50:00-04:00,0,21284.5,8.0,77.0,False,-1,True,False,0,,1,False
2025-05-27,1,2025-05-27 09:50:00-04:00,0,21430.5,151.0,179.75,False,1,True,False,0,,1,True
2025-05-28,-1,2025-05-28 09:50:00-04:00,0,21464.75,14.0,52.5,False,-1,True,False,0,,-1,True
2025-05-29,-1,2025-05-29 09:50:00-04:00,0,21455.75,31.0,185.75,True,-1,True,False,0,,-1,True
2025-05-30,-1,2025-05-30 09:50:00-04:00,0,21108.75,177.5,214.75,True,-1,True,True,-1,True,-1,True
2025-06-02,-1,2025-06-02 09:50:00-04:00,0,21446.5,-74.75,137.25,True,-1,True,False,0,,1,False
2025-06-03,-1,2025-06-03 09:50:00-04:00,0,21738.25,-180.0,12.0,True,1,False,False,0,,1,False
2025-06-04,-1,2025-06-04 09:51:00-04:00,1,21753.75,-1.5,111.25,False,1,False,False,0,,1,False
2025-06-05,1,2025-06-05 10:25:00-04:00,35,21687.5,-93.75,155.0,True,-1,False,False,0,,-1,False
2025-06-06,-1,2025-06-06 09:54:00-04:00,4,21755.0,82.75,116.25,True,1,False,False,0,,1,False
2025-06-09,1,2025-06-09 09:50:00-04:00,0,21870.0,66.0,88.5,False,1,True,True,1,True,-1,False
2025-06-10,1,2025-06-10 09:51:00-04:00,1,21909.75,34.25,41.5,True,1,True,False,0,,1,True
2025-06-11,1,2025-06-11 09:51:00-04:00,1,21977.75,1.75,90.75,True,-1,False,False,0,,-1,False
2025-06-12,1,2025-06-12 09:50:00-04:00,0,21923.75,34.0,87.75,True,1,True,True,1,True,1,True
