date,o,h,l,c,ce,body_dir,body_size,upper_wick,lower_wick,range_pts,is_manip,manip_dir
2025-05-02,20100.5,20115.5,20046.25,20058.25,20080.875,-1,42.25,15.0,12.0,69.25,False,0
2025-05-05,20034.25,20061.5,20022.75,20044.5,20042.125,1,10.25,17.0,11.5,38.75,False,0
2025-05-06,19847.25,19861.5,19797.0,19799.5,19829.25,-1,47.75,14.25,2.5,64.5,False,0
2025-05-07,19924.0,19936.5,19858.0,19874.0,19897.25,-1,50.0,12.5,16.0,78.5,False,0
2025-05-08,20123.25,20125.75,20061.0,20076.5,20093.375,-1,46.75,2.5,15.5,64.75,False,0
2025-05-09,20227.25,20250.0,20220.0,20240.5,20235.0,1,13.25,9.5,7.25,30.0,False,0
2025-05-12,20778.0,20800.75,20754.25,20797.25,20777.5,1,19.25,3.5,23.75,46.5,True,1
2025-05-13,21066.75,21071.5,21045.5,21056.0,21058.5,-1,10.75,4.75,10.5,26.0,False,0
2025-05-14,21341.75,21345.5,21277.0,21309.25,21311.25,-1,32.5,3.75,32.25,68.5,False,0
2025-05-15,21317.5,21321.25,21248.25,21268.75,21284.75,-1,48.75,3.75,20.5,73.0,False,0
2025-05-16,21415.25,21440.25,21409.0,21438.0,21424.625,1,22.75,2.25,6.25,31.25,False,0
2025-05-19,21332.25,21375.0,21316.5,21362.75,21345.75,1,30.5,12.25,15.75,58.5,False,0
2025-05-20,21413.75,21417.5,21358.0,21374.5,21387.75,-1,39.25,3.75,16.5,59.5,False,0
2025-05-21,21364.25,21383.5,21355.75,21382.0,21369.625,1,17.75,1.5,8.5,27.75,False,0
2025-05-22,21164.0,21194.5,21148.5,21181.5,21171.5,1,17.5,13.0,15.5,46.0,False,0
2025-05-23,20907.25,20911.25,20843.75,20863.0,20877.5,-1,44.25,4.0,19.25,67.5,False,0
2025-05-26,21302.75,21305.0,21292.5,21296.75,21298.75,-1,6.0,2.25,4.25,12.5,False,0
2025-05-27,21242.5,21279.5,21237.5,21265.75,21258.5,1,23.25,13.75,5.0,42.0,False,0
2025-05-28,21542.0,21545.0,21478.75,21482.5,21511.875,-1,59.5,3.0,3.75,66.25,False,0
2025-05-29,21527.0,21537.5,21486.75,21491.75,21512.125,-1,35.25,10.5,5.0,50.75,False,0
2025-05-30,21301.0,21330.0,21286.25,21289.75,21308.125,-1,11.25,29.0,3.5,43.75,True,-1
2025-06-02,21422.5,21435.5,21371.75,21380.0,21403.625,-1,42.5,13.0,8.25,63.75,False,0
2025-06-03,21563.5,21599.25,21558.25,21579.25,21578.75,1,15.75,20.0,5.25,41.0,False,0
2025-06-04,21761.5,21786.5,21752.25,21775.75,21769.375,1,14.25,10.75,9.25,34.25,False,0
2025-06-05,21778.5,21781.25,21691.75,21736.25,21736.5,-1,42.25,2.75,44.5,89.5,False,0
2025-06-06,21840.5,21863.5,21837.75,21857.75,21850.625,1,17.25,5.75,2.75,25.75,False,0
2025-06-09,21795.25,21804.0,21776.75,21804.0,21790.375,1,8.75,0.0,18.5,27.25,True,1
2025-06-10,21852.0,21875.5,21841.25,21872.25,21858.375,1,20.25,3.25,10.75,34.25,False,0
2025-06-11,21972.5,21976.0,21915.0,21953.75,21945.5,-1,18.75,3.5,38.75,61.0,False,0
