fvg_date,level,level_price,touch_ordinal,touch_ts,touch_date,touch_hour,days_since,approach,candle_dir,is_manip,reversed,mfe,mae
2025-05-02,h,20115.5,1,2025-05-04 18:44:00-04:00,2025-05-04,18,2,from_above,-1,False,True,15.5,-47.0
2025-05-02,h,20115.5,2,2025-05-04 18:52:00-04:00,2025-05-04,18,2,from_above,-1,False,False,3.0,-67.5
2025-05-02,h,20115.5,3,2025-05-04 19:04:00-04:00,2025-05-04,19,2,from_below,-1,False,True,62.25,-7.5
2025-05-02,h,20115.5,4,2025-05-04 19:14:00-04:00,2025-05-04,19,2,from_below,-1,False,True,66.25,-3.5
2025-05-02,h,20115.5,5,2025-05-04 19:21:00-04:00,2025-05-04,19,2,from_below,-1,False,True,62.5,-3.5
2025-05-02,h,20115.5,6,2025-05-05 10:57:00-04:00,2025-05-05,10,3,from_below,-1,False,True,44.75,-14.0
2025-05-02,l,20046.25,1,2025-05-04 21:39:00-04:00,2025-05-04,21,2,from_above,-1,False,True,12.5,-60.75
2025-05-02,l,20046.25,2,2025-05-04 22:22:00-04:00,2025-05-04,22,2,from_below,-1,False,True,22.75,-7.25
2025-05-02,l,20046.25,3,2025-05-04 22:47:00-04:00,2025-05-04,22,2,from_below,-1,False,True,28.75,-24.0
2025-05-02,l,20046.25,4,2025-05-04 23:10:00-04:00,2025-05-04,23,2,from_below,-1,False,True,23.5,-28.25
2025-05-02,l,20046.25,5,2025-05-04 23:20:00-04:00,2025-05-04,23,2,from_below,-1,False,True,27.25,-29.25
2025-05-02,l,20046.25,6,2025-05-04 23:38:00-04:00,2025-05-04,23,2,from_below,-1,False,True,36.75,-19.75
2025-05-02,ce,20080.875,1,2025-05-04 19:41:00-04:00,2025-05-04,19,2,from_above,-1,False,True,23.5,-29.0
2025-05-02,ce,20080.875,2,2025-05-04 19:50:00-04:00,2025-05-04,19,2,from_below,-1,False,True,10.0,-31.75
2025-05-02,ce,20080.875,3,2025-05-04 19:52:00-04:00,2025-05-04,19,2,from_below,-1,False,True,17.25,-24.5
2025-05-02,ce,20080.875,4,2025-05-04 20:03:00-04:00,2025-05-04,20,2,from_above,-1,False,True,36.5,-7.5
2025-05-02,ce,20080.875,5,2025-05-04 20:11:00-04:00,2025-05-04,20,2,from_above,-1,False,True,24.75,-20.75
2025-05-02,ce,20080.875,6,2025-05-04 20:14:00-04:00,2025-05-04,20,2,from_above,-1,False,True,29.75,-15.75
2025-05-05,h,20061.5,1,2025-05-06 18:01:00-04:00,2025-05-06,18,1,from_below,1,False,True,124.25,-72.75
2025-05-05,h,20061.5,2,2025-05-06 18:05:00-04:00,2025-05-06,18,1,from_below,1,False,True,90.5,-44.25
2025-05-05,h,20061.5,3,2025-05-06 18:10:00-04:00,2025-05-06,18,1,from_above,1,False,True,38.75,-57.75
2025-05-05,h,20061.5,4,2025-05-06 18:17:00-04:00,2025-05-06,18,1,from_below,1,False,True,72.5,-24.0
2025-05-05,h,20061.5,5,2025-05-06 18:23:00-04:00,2025-05-06,18,1,from_above,1,False,True,43.5,-53.0
2025-05-05,h,20061.5,6,2025-05-06 18:32:00-04:00,2025-05-06,18,1,from_above,1,False,True,19.25,-66.75
2025-05-05,l,20022.75,1,2025-05-06 12:14:00-04:00,2025-05-06,12,1,from_below,1,False,True,145.75,-21.0
2025-05-05,l,20022.75,2,2025-05-06 18:01:00-04:00,2025-05-06,18,1,from_below,1,False,True,124.25,-72.75
2025-05-05,l,20022.75,3,2025-05-06 18:15:00-04:00,2025-05-06,18,1,from_above,1,False,True,70.75,-25.75
2025-05-05,l,20022.75,4,2025-05-06 18:36:00-04:00,2025-05-06,18,1,from_above,1,False,True,67.5,-18.5
2025-05-05,l,20022.75,5,2025-05-06 18:39:00-04:00,2025-05-06,18,1,from_below,1,False,True,10.25,-62.0
2025-05-05,l,20022.75,6,2025-05-06 18:45:00-04:00,2025-05-06,18,1,from_above,1,False,True,43.0,-21.25
2025-05-05,ce,20042.125,1,2025-05-06 18:01:00-04:00,2025-05-06,18,1,from_below,1,False,True,124.25,-72.75
2025-05-05,ce,20042.125,2,2025-05-06 18:11:00-04:00,2025-05-06,18,1,from_above,1,False,True,45.0,-51.5
2025-05-05,ce,20042.125,3,2025-05-06 18:36:00-04:00,2025-05-06,18,1,from_above,1,False,True,67.5,-18.5
2025-05-05,ce,20042.125,4,2025-05-06 18:41:00-04:00,2025-05-06,18,1,from_below,1,False,True,11.0,-53.25
2025-05-05,ce,20042.125,5,2025-05-06 19:06:00-04:00,2025-05-06,19,1,from_above,1,False,True,27.5,-17.25
2025-05-05,ce,20042.125,6,2025-05-06 19:10:00-04:00,2025-05-06,19,1,from_below,1,False,True,21.75,-29.0
2025-05-06,h,19861.5,1,2025-05-07 09:49:00-04:00,2025-05-07,9,1,from_above,-1,False,True,103.75,-16.0
2025-05-06,h,19861.5,2,2025-05-07 10:54:00-04:00,2025-05-07,10,1,from_above,-1,False,True,24.5,-64.5
2025-05-06,h,19861.5,3,2025-05-07 10:58:00-04:00,2025-05-07,10,1,from_below,-1,False,True,63.5,-12.5
2025-05-06,h,19861.5,4,2025-05-07 12:20:00-04:00,2025-05-07,12,1,from_below,-1,False,True,41.5,-78.0
2025-05-06,h,19861.5,5,2025-05-07 12:41:00-04:00,2025-05-07,12,1,from_below,-1,False,False,7.0,-66.5
2025-05-06,h,19861.5,6,2025-05-07 12:46:00-04:00,2025-05-07,12,1,from_above,-1,False,True,61.5,-10.0
2025-05-06,l,19797.0,1,2025-05-07 11:13:00-04:00,2025-05-07,11,1,from_above,-1,False,True,59.75,-12.25
2025-05-06,l,19797.0,2,2025-05-07 11:28:00-04:00,2025-05-07,11,1,from_above,-1,False,True,54.5,-20.25
2025-05-06,l,19797.0,3,2025-05-07 11:30:00-04:00,2025-05-07,11,1,from_above,-1,False,True,48.25,-26.5
2025-05-06,l,19797.0,4,2025-05-07 11:34:00-04:00,2025-05-07,11,1,from_above,-1,False,True,60.5,-14.25
2025-05-06,l,19797.0,5,2025-05-07 11:48:00-04:00,2025-05-07,11,1,from_above,-1,False,True,81.5,-14.75
2025-05-06,l,19797.0,6,2025-05-07 14:00:00-04:00,2025-05-07,14,1,from_above,-1,False,True,67.5,-157.75
2025-05-06,ce,19829.25,1,2025-05-07 10:56:00-04:00,2025-05-07,10,1,from_above,-1,False,True,20.25,-55.75
2025-05-06,ce,19829.25,2,2025-05-07 11:00:00-04:00,2025-05-07,11,1,from_above,-1,False,True,27.25,-44.75
2025-05-06,ce,19829.25,3,2025-05-07 11:04:00-04:00,2025-05-07,11,1,from_below,-1,False,True,42.0,-30.0
2025-05-06,ce,19829.25,4,2025-05-07 11:08:00-04:00,2025-05-07,11,1,from_below,-1,False,True,48.25,-23.75
2025-05-06,ce,19829.25,5,2025-05-07 11:16:00-04:00,2025-05-07,11,1,from_below,-1,False,True,27.5,-44.5
2025-05-06,ce,19829.25,6,2025-05-07 11:20:00-04:00,2025-05-07,11,1,from_below,-1,False,True,30.25,-44.5
2025-05-08,h,20125.75,1,2025-05-09 10:27:00-04:00,2025-05-09,10,1,from_above,-1,False,True,37.75,-80.75
2025-05-08,h,20125.75,2,2025-05-09 10:34:00-04:00,2025-05-09,10,1,from_above,-1,False,True,49.75,-68.75
2025-05-08,h,20125.75,3,2025-05-09 10:49:00-04:00,2025-05-09,10,1,from_below,-1,False,True,28.0,-50.0
2025-05-08,h,20125.75,4,2025-05-09 10:56:00-04:00,2025-05-09,10,1,from_below,-1,False,True,32.75,-41.5
2025-05-08,h,20125.75,5,2025-05-09 11:00:00-04:00,2025-05-09,11,1,from_above,-1,False,True,30.5,-43.75
2025-05-08,h,20125.75,6,2025-05-09 11:21:00-04:00,2025-05-09,11,1,from_above,-1,False,True,38.25,-60.25
2025-05-08,l,20061.0,1,2025-05-09 10:38:00-04:00,2025-05-09,10,1,from_above,-1,False,True,111.75,-6.75
2025-05-08,l,20061.0,2,2025-05-09 13:22:00-04:00,2025-05-09,13,1,from_above,-1,False,True,53.5,-47.5
2025-05-08,ce,20093.375,1,2025-05-09 10:35:00-04:00,2025-05-09,10,1,from_above,-1,False,True,72.25,-46.25
2025-05-08,ce,20093.375,2,2025-05-09 10:40:00-04:00,2025-05-09,10,1,from_below,-1,False,True,21.5,-93.75
2025-05-08,ce,20093.375,3,2025-05-09 10:42:00-04:00,2025-05-09,10,1,from_below,-1,False,True,32.25,-74.25
