touch_hour,n_touches,pct
0,29,0.42089985486211906
1,21,0.3047895500725689
2,20,0.29027576197387517
3,63,0.9143686502177069
4,49,0.7111756168359942
5,44,0.6386066763425253
6,52,0.7547169811320755
7,43,0.6240928882438317
8,29,0.42089985486211906
9,1328,19.274310595065312
10,2618,37.99709724238026
11,978,14.194484760522496
12,486,7.053701015965166
13,259,3.759071117561684
14,234,3.3962264150943398
15,195,2.8301886792452833
16,94,1.3642960812772134
18,87,1.262699564586357
19,69,1.0014513788098693
20,63,0.9143686502177069
21,48,0.6966618287373004
22,46,0.6676342525399128
23,35,0.5079825834542816
