touch_hour,level,n
10,L100,584
10,L75,546
10,L50,525
10,L25,497
10,L0,466
9,L75,305
9,L50,304
9,L25,273
9,L100,233
11,L50,225
11,L75,217
9,L0,213
11,L25,201
11,L100,180
11,L0,155
12,L100,134
12,L75,109
12,L25,89
12,L0,82
12,L50,72
13,L100,58
14,L50,56
13,L75,55
14,L75,52
13,L50,52
14,L25,50
15,L25,49
13,L25,49
15,L50,49
13,L0,45
14,L100,40
14,L0,36
15,L0,35
15,L100,33
16,L25,30
15,L75,29
16,L75,27
18,L50,25
19,L75,25
20,L100,23
3,L25,23
19,L100,21
18,L75,20
18,L100,20
21,L100,19
5,L25,17
4,L0,17
7,L0,17
20,L50,16
18,L25,15
16,L50,15
0,L100,14
22,L50,14
6,L0,14
7,L50,13
3,L0,13
5,L50,13
23,L25,13
16,L100,13
6,L25,13
3,L50,12
22,L75,10
21,L75,10
4,L25,10
4,L50,10
1,L25,10
6,L50,10
1,L100,10
3,L100,10
20,L25,10
22,L100,10
16,L0,9
23,L100,9
8,L0,9
4,L75,9
8,L25,9
0,L0,8
5,L0,8
6,L75,8
21,L25,8
19,L50,8
19,L25,8
7,L25,7
6,L100,7
20,L0,7
18,L0,7
19,L0,7
20,L75,7
23,L0,6
21,L0,6
22,L0,6
22,L25,6
5,L75,6
8,L75,6
7,L75,5
3,L75,5
21,L50,5
23,L50,5
2,L100,5
0,L25,4
2,L50,4
2,L25,4
8,L50,4
2,L0,4
0,L75,3
2,L75,3
4,L100,3
23,L75,2
7,L100,1
1,L0,1
8,L100,1
