candle_date,expansion_ts,expansion_dir,chain_found,next_candle_date,next_first_hit_ts,next_first_hit_level,next_first_hit_px,minutes_from_expansion
2025-05-02,2025-05-02 11:15:00-04:00,1,True,2025-05-05,2025-05-04 19:45:00-04:00,L75,20053.75,3390.0
2025-05-05,2025-05-05 10:54:00-04:00,1,True,2025-05-06,2025-05-06 04:17:00-04:00,L100,19875.25,1043.0
2025-05-06,2025-05-06 10:45:00-04:00,1,True,2025-05-07,2025-05-06 10:45:00-04:00,L75,19924.25,0.0
2025-05-07,2025-05-07 14:06:00-04:00,-1,True,2025-05-08,2025-05-07 21:07:00-04:00,L0,20067.25,421.0
2025-05-08,2025-05-08 11:28:00-04:00,1,True,2025-05-09,2025-05-08 11:40:00-04:00,L50,20238.0,12.0
2025-05-09,2025-05-09 10:21:00-04:00,-1,True,2025-05-12,2025-05-12 03:00:00-04:00,L0,20745.5,3879.0
2025-05-12,2025-05-12 12:43:00-04:00,1,True,2025-05-13,2025-05-13 08:30:00-04:00,L0,21033.5,1187.0
2025-05-13,2025-05-13 09:52:00-04:00,1,True,2025-05-14,2025-05-13 11:25:00-04:00,L0,21280.0,93.0
2025-05-14,2025-05-14 12:32:00-04:00,1,True,2025-05-15,2025-05-14 13:17:00-04:00,L100,21323.0,45.0
2025-05-15,2025-05-15 11:17:00-04:00,1,True,2025-05-16,2025-05-15 11:21:00-04:00,L25,21414.25,4.0
2025-05-16,2025-05-16 10:35:00-04:00,-1,True,2025-05-19,2025-05-16 10:35:00-04:00,L100,21385.5,0.0
2025-05-19,2025-05-19 10:07:00-04:00,1,True,2025-05-20,2025-05-19 10:07:00-04:00,L100,21432.75,0.0
2025-05-20,2025-05-21 02:38:00-04:00,-1,True,2025-05-21,2025-05-21 07:57:00-04:00,L0,21351.0,319.0
2025-05-21,2025-05-21 10:50:00-04:00,1,True,2025-05-22,2025-05-21 13:29:00-04:00,L100,21203.5,159.0
2025-05-22,2025-05-22 09:53:00-04:00,1,True,2025-05-23,2025-05-23 07:44:00-04:00,L100,20944.75,1311.0
2025-05-23,2025-05-23 10:25:00-04:00,1,True,2025-05-26,2025-05-26 09:33:00-04:00,L50,21300.0,4268.0
2025-05-26,2025-05-26 09:55:00-04:00,-1,True,2025-05-27,2025-05-26 09:55:00-04:00,L100,21278.25,0.0
2025-05-27,2025-05-27 10:00:00-04:00,1,True,2025-05-28,2025-05-27 13:57:00-04:00,L0,21474.5,237.0
2025-05-28,2025-05-28 15:40:00-04:00,-1,True,2025-05-29,2025-05-28 16:38:00-04:00,L0,21488.0,58.0
2025-05-29,2025-05-29 10:07:00-04:00,-1,True,2025-05-30,2025-05-29 11:59:00-04:00,L100,21349.0,112.0
2025-05-30,2025-05-30 10:12:00-04:00,1,True,2025-06-02,2025-05-30 10:12:00-04:00,L0,21374.75,0.0
