date,candle_high,candle_low,range_pts,expanded,expansion_ts,expansion_dir,minutes_to_expansion,first_level_hit,first_level_hit_ts,first_level_hit_minutes_after_950,touches_pre_exp_L0,touches_post_exp_L0,touches_pre_exp_L25,touches_post_exp_L25,touches_pre_exp_L50,touches_post_exp_L50,touches_pre_exp_L75,touches_post_exp_L75,touches_pre_exp_L100,touches_post_exp_L100,total_touches_pre_exp,total_touches_post_exp
2025-05-02,20115.5,20046.25,69.25,True,2025-05-02 11:15:00-04:00,1,85,L25,2025-05-02 09:50:00-04:00,0,1,49,3,65,3,39,2,33,4,20,13,206
2025-05-05,20061.5,20022.75,38.75,True,2025-05-05 10:54:00-04:00,1,64,L25,2025-05-05 09:50:00-04:00,0,2,43,4,41,8,30,8,44,7,29,29,187
2025-05-06,19861.5,19797.0,64.5,True,2025-05-06 10:45:00-04:00,1,55,L0,2025-05-06 09:50:00-04:00,0,4,16,1,21,1,29,2,28,1,34,9,128
2025-05-07,19936.5,19858.0,78.5,True,2025-05-07 14:06:00-04:00,-1,256,L25,2025-05-07 09:50:00-04:00,0,13,8,8,6,10,3,5,7,7,15,43,39
2025-05-08,20125.75,20061.0,64.75,True,2025-05-08 11:28:00-04:00,1,98,L25,2025-05-08 09:50:00-04:00,0,7,2,9,6,9,19,4,25,2,39,31,91
2025-05-09,20250.0,20220.0,30.0,True,2025-05-09 10:21:00-04:00,-1,31,L50,2025-05-09 09:50:00-04:00,0,2,0,3,0,4,0,4,0,3,0,16,0
2025-05-12,20800.75,20754.25,46.5,True,2025-05-12 12:43:00-04:00,1,173,L100,2025-05-12 09:50:00-04:00,0,3,0,10,0,16,0,16,0,14,0,59,0
2025-05-13,21071.5,21045.5,26.0,True,2025-05-13 09:52:00-04:00,1,2,L100,2025-05-13 09:50:00-04:00,0,0,0,0,0,1,0,1,0,1,0,3,0
2025-05-14,21345.5,21277.0,68.5,True,2025-05-14 12:32:00-04:00,1,162,L25,2025-05-14 09:50:00-04:00,0,1,36,3,37,10,33,12,29,11,40,37,175
2025-05-15,21321.25,21248.25,73.0,True,2025-05-15 11:17:00-04:00,1,87,L25,2025-05-15 09:50:00-04:00,0,0,6,3,11,7,14,8,12,4,13,22,56
2025-05-16,21440.25,21409.0,31.25,True,2025-05-16 10:35:00-04:00,-1,45,L100,2025-05-16 09:50:00-04:00,0,5,71,6,97,4,100,6,88,8,81,29,437
2025-05-19,21375.0,21316.5,58.5,True,2025-05-19 10:07:00-04:00,1,17,L100,2025-05-19 09:50:00-04:00,0,0,41,0,25,3,20,1,23,2,43,6,152
2025-05-20,21417.5,21358.0,59.5,True,2025-05-21 02:38:00-04:00,-1,1008,L25,2025-05-20 09:50:00-04:00,0,16,4,25,7,29,9,32,12,41,5,143,37
2025-05-21,21383.5,21355.75,27.75,True,2025-05-21 10:50:00-04:00,1,60,L100,2025-05-21 09:50:00-04:00,0,0,1,1,1,2,1,8,1,11,1,22,5
2025-05-22,21194.5,21148.5,46.0,True,2025-05-22 09:53:00-04:00,1,3,L100,2025-05-22 09:50:00-04:00,0,0,21,0,42,1,69,1,71,1,66,3,269
2025-05-23,20911.25,20843.75,67.5,True,2025-05-23 10:25:00-04:00,1,35,L25,2025-05-23 09:50:00-04:00,0,0,0,2,0,1,0,3,2,4,4,10,6
2025-05-26,21305.0,21292.5,12.5,True,2025-05-26 09:55:00-04:00,-1,5,L0,2025-05-26 09:50:00-04:00,0,1,38,1,32,1,36,0,39,0,30,3,175
2025-05-27,21279.5,21237.5,42.0,True,2025-05-27 10:00:00-04:00,1,10,L100,2025-05-27 09:50:00-04:00,0,0,4,1,4,2,7,1,8,2,15,6,38
2025-05-28,21545.0,21478.75,66.25,True,2025-05-28 15:40:00-04:00,-1,350,L0,2025-05-28 09:50:00-04:00,0,19,12,6,19,2,26,0,10,0,6,27,73
