candle_date,level,level_price,phase,ordinal,touch_ts,touch_hour,minutes_after_950,days_after_formation
2025-05-02,L0,20046.25,pre_expansion,1,2025-05-02 09:51:00-04:00,9,1,0
2025-05-02,L25,20063.5625,pre_expansion,1,2025-05-02 09:50:00-04:00,9,0,0
2025-05-02,L25,20063.5625,pre_expansion,2,2025-05-02 09:53:00-04:00,9,3,0
2025-05-02,L25,20063.5625,pre_expansion,3,2025-05-02 09:57:00-04:00,9,7,0
2025-05-02,L50,20080.875,pre_expansion,1,2025-05-02 09:50:00-04:00,9,0,0
2025-05-02,L50,20080.875,pre_expansion,2,2025-05-02 09:54:00-04:00,9,4,0
2025-05-02,L50,20080.875,pre_expansion,3,2025-05-02 10:00:00-04:00,10,10,0
2025-05-02,L75,20098.1875,pre_expansion,1,2025-05-02 09:56:00-04:00,9,6,0
2025-05-02,L75,20098.1875,pre_expansion,2,2025-05-02 10:02:00-04:00,10,12,0
2025-05-02,L100,20115.5,pre_expansion,1,2025-05-02 10:02:00-04:00,10,12,0
2025-05-02,L100,20115.5,pre_expansion,2,2025-05-02 10:12:00-04:00,10,22,0
2025-05-02,L100,20115.5,pre_expansion,3,2025-05-02 10:20:00-04:00,10,30,0
2025-05-02,L100,20115.5,pre_expansion,4,2025-05-02 10:23:00-04:00,10,33,0
2025-05-02,L0,20046.25,post_expansion,1,2025-05-04 21:39:00-04:00,21,3589,2
2025-05-02,L0,20046.25,post_expansion,2,2025-05-04 22:22:00-04:00,22,3632,2
2025-05-02,L0,20046.25,post_expansion,3,2025-05-04 22:47:00-04:00,22,3657,2
2025-05-02,L0,20046.25,post_expansion,4,2025-05-04 23:10:00-04:00,23,3680,2
2025-05-02,L0,20046.25,post_expansion,5,2025-05-04 23:20:00-04:00,23,3690,2
2025-05-02,L0,20046.25,post_expansion,6,2025-05-04 23:38:00-04:00,23,3708,2
2025-05-02,L0,20046.25,post_expansion,7,2025-05-04 23:46:00-04:00,23,3716,2
2025-05-02,L0,20046.25,post_expansion,8,2025-05-05 00:06:00-04:00,0,3736,3
2025-05-02,L0,20046.25,post_expansion,9,2025-05-05 00:13:00-04:00,0,3743,3
2025-05-02,L0,20046.25,post_expansion,10,2025-05-05 00:21:00-04:00,0,3751,3
2025-05-02,L0,20046.25,post_expansion,11,2025-05-05 00:30:00-04:00,0,3760,3
2025-05-02,L0,20046.25,post_expansion,12,2025-05-05 01:00:00-04:00,1,3790,3
2025-05-02,L0,20046.25,post_expansion,13,2025-05-05 01:50:00-04:00,1,3840,3
2025-05-02,L0,20046.25,post_expansion,14,2025-05-05 03:15:00-04:00,3,3925,3
2025-05-02,L0,20046.25,post_expansion,15,2025-05-05 03:36:00-04:00,3,3946,3
2025-05-02,L0,20046.25,post_expansion,16,2025-05-05 03:50:00-04:00,3,3960,3
2025-05-02,L0,20046.25,post_expansion,17,2025-05-05 04:29:00-04:00,4,3999,3
2025-05-02,L0,20046.25,post_expansion,18,2025-05-05 09:35:00-04:00,9,4305,3
2025-05-02,L0,20046.25,post_expansion,19,2025-05-05 09:44:00-04:00,9,4314,3
2025-05-02,L0,20046.25,post_expansion,20,2025-05-05 09:55:00-04:00,9,4325,3
2025-05-02,L0,20046.25,post_expansion,21,2025-05-05 10:05:00-04:00,10,4335,3
2025-05-02,L0,20046.25,post_expansion,22,2025-05-05 10:10:00-04:00,10,4340,3
2025-05-02,L0,20046.25,post_expansion,23,2025-05-05 10:13:00-04:00,10,4343,3
2025-05-02,L0,20046.25,post_expansion,24,2025-05-05 10:21:00-04:00,10,4351,3
2025-05-02,L0,20046.25,post_expansion,25,2025-05-05 10:24:00-04:00,10,4354,3
2025-05-02,L0,20046.25,post_expansion,26,2025-05-05 10:28:00-04:00,10,4358,3
2025-05-02,L0,20046.25,post_expansion,27,2025-05-05 10:37:00-04:00,10,4367,3
2025-05-02,L0,20046.25,post_expansion,28,2025-05-05 15:54:00-04:00,15,4684,3
2025-05-02,L0,20046.25,post_expansion,29,2025-05-05 16:01:00-04:00,16,4691,3
2025-05-02,L0,20046.25,post_expansion,30,2025-05-05 16:06:00-04:00,16,4696,3
2025-05-02,L0,20046.25,post_expansion,31,2025-05-06 18:01:00-04:00,18,6251,4
2025-05-02,L0,20046.25,post_expansion,32,2025-05-06 18:11:00-04:00,18,6261,4
2025-05-02,L0,20046.25,post_expansion,33,2025-05-06 18:14:00-04:00,18,6264,4
2025-05-02,L0,20046.25,post_expansion,34,2025-05-06 18:16:00-04:00,18,6266,4
2025-05-02,L0,20046.25,post_expansion,35,2025-05-06 18:24:00-04:00,18,6274,4
2025-05-02,L0,20046.25,post_expansion,36,2025-05-06 18:36:00-04:00,18,6286,4
2025-05-02,L0,20046.25,post_expansion,37,2025-05-06 18:43:00-04:00,18,6293,4
2025-05-02,L0,20046.25,post_expansion,38,2025-05-06 19:06:00-04:00,19,6316,4
2025-05-02,L0,20046.25,post_expansion,39,2025-05-06 19:10:00-04:00,19,6320,4
2025-05-02,L0,20046.25,post_expansion,40,2025-05-06 19:16:00-04:00,19,6326,4
2025-05-02,L0,20046.25,post_expansion,41,2025-05-06 19:30:00-04:00,19,6340,4
2025-05-02,L0,20046.25,post_expansion,42,2025-05-06 19:38:00-04:00,19,6348,4
2025-05-02,L0,20046.25,post_expansion,43,2025-05-06 20:04:00-04:00,20,6374,4
2025-05-02,L0,20046.25,post_expansion,44,2025-05-06 20:22:00-04:00,20,6392,4
2025-05-02,L0,20046.25,post_expansion,45,2025-05-06 21:30:00-04:00,21,6460,4
2025-05-02,L0,20046.25,post_expansion,46,2025-05-06 21:51:00-04:00,21,6481,4
2025-05-02,L0,20046.25,post_expansion,47,2025-05-06 21:57:00-04:00,21,6487,4
2025-05-02,L0,20046.25,post_expansion,48,2025-05-06 22:00:00-04:00,22,6490,4
2025-05-02,L0,20046.25,post_expansion,49,2025-05-07 15:43:00-04:00,15,7553,5
2025-05-02,L25,20063.5625,post_expansion,1,2025-05-04 19:45:00-04:00,19,3475,2
2025-05-02,L25,20063.5625,post_expansion,2,2025-05-04 21:26:00-04:00,21,3576,2
2025-05-02,L25,20063.5625,post_expansion,3,2025-05-04 23:40:00-04:00,23,3710,2
2025-05-02,L25,20063.5625,post_expansion,4,2025-05-04 23:44:00-04:00,23,3714,2
2025-05-02,L25,20063.5625,post_expansion,5,2025-05-04 23:53:00-04:00,23,3723,2
2025-05-02,L25,20063.5625,post_expansion,6,2025-05-04 23:55:00-04:00,23,3725,2
2025-05-02,L25,20063.5625,post_expansion,7,2025-05-04 23:57:00-04:00,23,3727,2
2025-05-02,L25,20063.5625,post_expansion,8,2025-05-05 01:03:00-04:00,1,3793,3
2025-05-02,L25,20063.5625,post_expansion,9,2025-05-05 01:07:00-04:00,1,3797,3
2025-05-02,L25,20063.5625,post_expansion,10,2025-05-05 01:11:00-04:00,1,3801,3
2025-05-02,L25,20063.5625,post_expansion,11,2025-05-05 01:20:00-04:00,1,3810,3
2025-05-02,L25,20063.5625,post_expansion,12,2025-05-05 01:25:00-04:00,1,3815,3
2025-05-02,L25,20063.5625,post_expansion,13,2025-05-05 01:28:00-04:00,1,3818,3
2025-05-02,L25,20063.5625,post_expansion,14,2025-05-05 01:30:00-04:00,1,3820,3
2025-05-02,L25,20063.5625,post_expansion,15,2025-05-05 01:42:00-04:00,1,3832,3
2025-05-02,L25,20063.5625,post_expansion,16,2025-05-05 01:52:00-04:00,1,3842,3
2025-05-02,L25,20063.5625,post_expansion,17,2025-05-05 01:54:00-04:00,1,3844,3
2025-05-02,L25,20063.5625,post_expansion,18,2025-05-05 01:57:00-04:00,1,3847,3
2025-05-02,L25,20063.5625,post_expansion,19,2025-05-05 02:06:00-04:00,2,3856,3
2025-05-02,L25,20063.5625,post_expansion,20,2025-05-05 02:50:00-04:00,2,3900,3
2025-05-02,L25,20063.5625,post_expansion,21,2025-05-05 02:56:00-04:00,2,3906,3
2025-05-02,L25,20063.5625,post_expansion,22,2025-05-05 02:58:00-04:00,2,3908,3
2025-05-02,L25,20063.5625,post_expansion,23,2025-05-05 03:04:00-04:00,3,3914,3
2025-05-02,L25,20063.5625,post_expansion,24,2025-05-05 03:08:00-04:00,3,3918,3
2025-05-02,L25,20063.5625,post_expansion,25,2025-05-05 03:21:00-04:00,3,3931,3
2025-05-02,L25,20063.5625,post_expansion,26,2025-05-05 03:23:00-04:00,3,3933,3
2025-05-02,L25,20063.5625,post_expansion,27,2025-05-05 03:30:00-04:00,3,3940,3
2025-05-02,L25,20063.5625,post_expansion,28,2025-05-05 03:42:00-04:00,3,3952,3
2025-05-02,L25,20063.5625,post_expansion,29,2025-05-05 03:45:00-04:00,3,3955,3
2025-05-02,L25,20063.5625,post_expansion,30,2025-05-05 03:49:00-04:00,3,3959,3
2025-05-02,L25,20063.5625,post_expansion,31,2025-05-05 03:53:00-04:00,3,3963,3
2025-05-02,L25,20063.5625,post_expansion,32,2025-05-05 03:55:00-04:00,3,3965,3
2025-05-02,L25,20063.5625,post_expansion,33,2025-05-05 03:58:00-04:00,3,3968,3
2025-05-02,L25,20063.5625,post_expansion,34,2025-05-05 04:00:00-04:00,4,3970,3
2025-05-02,L25,20063.5625,post_expansion,35,2025-05-05 04:05:00-04:00,4,3975,3
2025-05-02,L25,20063.5625,post_expansion,36,2025-05-05 04:08:00-04:00,4,3978,3
2025-05-02,L25,20063.5625,post_expansion,37,2025-05-05 04:23:00-04:00,4,3993,3
2025-05-02,L25,20063.5625,post_expansion,38,2025-05-05 09:57:00-04:00,9,4327,3
2025-05-02,L25,20063.5625,post_expansion,39,2025-05-05 10:04:00-04:00,10,4334,3
2025-05-02,L25,20063.5625,post_expansion,40,2025-05-05 10:14:00-04:00,10,4344,3
2025-05-02,L25,20063.5625,post_expansion,41,2025-05-05 10:21:00-04:00,10,4351,3
2025-05-02,L25,20063.5625,post_expansion,42,2025-05-05 10:25:00-04:00,10,4355,3
2025-05-02,L25,20063.5625,post_expansion,43,2025-05-05 10:38:00-04:00,10,4368,3
2025-05-02,L25,20063.5625,post_expansion,44,2025-05-05 10:42:00-04:00,10,4372,3
2025-05-02,L25,20063.5625,post_expansion,45,2025-05-05 11:39:00-04:00,11,4429,3
