fvg_date,fvg_tf_min,fvg_direction,fvg_low,fvg_high,fvg_ce,fvg_size_pts,touch_ordinal,touch_ts,touch_date,touch_hour,days_since_fvg,touch_px,max_penetration,touch_position,reversed,react_mfe,react_mae
2025-05-02,5,bearish,20104.25,20104.5,20104.375,0.25,1,2025-05-04 19:00:00-04:00,2025-05-04,19,2,20113.5,1.0,filled,True,60.75,-9.0
2025-05-02,5,bearish,20104.25,20104.5,20104.375,0.25,2,2025-05-04 19:02:00-04:00,2025-05-04,19,2,20104.25,1.0,filled,True,51.5,-18.25
2025-05-02,5,bearish,20104.25,20104.5,20104.375,0.25,3,2025-05-04 19:06:00-04:00,2025-05-04,19,2,20106.0,1.0,filled,True,53.25,-16.5
2025-05-02,5,bearish,20104.25,20104.5,20104.375,0.25,4,2025-05-04 19:11:00-04:00,2025-05-04,19,2,20106.75,1.0,filled,True,54.0,-15.75
2025-05-02,5,bearish,20104.25,20104.5,20104.375,0.25,5,2025-05-04 19:17:00-04:00,2025-05-04,19,2,20105.5,1.0,filled,True,52.75,-13.25
2025-05-02,5,bearish,20104.25,20104.5,20104.375,0.25,6,2025-05-04 19:23:00-04:00,2025-05-04,19,2,20105.0,1.0,filled,True,52.25,-4.25
2025-05-05,5,bullish,20048.75,20055.0,20051.875,6.25,1,2025-05-06 18:01:00-04:00,2025-05-06,18,1,20063.5,1.0,filled,True,72.75,-124.25
2025-05-05,5,bullish,20048.75,20055.0,20051.875,6.25,2,2025-05-06 18:10:00-04:00,2025-05-06,18,1,20059.25,1.0,filled,True,38.75,-57.75
2025-05-05,5,bullish,20048.75,20055.0,20051.875,6.25,3,2025-05-06 18:14:00-04:00,2025-05-06,18,1,20037.25,1.0,filled,True,60.75,-35.75
2025-05-05,5,bullish,20048.75,20055.0,20051.875,6.25,4,2025-05-06 18:16:00-04:00,2025-05-06,18,1,20051.5,1.0,filled,True,46.5,-50.0
2025-05-05,5,bullish,20048.75,20055.0,20051.875,6.25,5,2025-05-06 18:19:00-04:00,2025-05-06,18,1,20062.5,0.08,edge_near,True,35.5,-61.0
2025-05-05,5,bullish,20048.75,20055.0,20051.875,6.25,6,2025-05-06 18:23:00-04:00,2025-05-06,18,1,20054.5,1.0,filled,True,43.5,-53.0
2025-05-06,5,bearish,19830.75,19833.75,19832.25,3.0,1,2025-05-07 10:55:00-04:00,2025-05-07,10,1,19839.25,1.0,filled,True,54.5,-21.5
2025-05-06,5,bearish,19830.75,19833.75,19832.25,3.0,2,2025-05-07 11:00:00-04:00,2025-05-07,11,1,19829.5,1.0,filled,True,44.75,-27.25
2025-05-06,5,bearish,19830.75,19833.75,19832.25,3.0,3,2025-05-07 11:04:00-04:00,2025-05-07,11,1,19826.75,1.0,filled,True,42.0,-30.0
2025-05-06,5,bearish,19830.75,19833.75,19832.25,3.0,4,2025-05-07 11:08:00-04:00,2025-05-07,11,1,19833.0,1.0,filled,True,48.25,-23.75
2025-05-06,5,bearish,19830.75,19833.75,19832.25,3.0,5,2025-05-07 11:21:00-04:00,2025-05-07,11,1,19840.75,1.0,filled,True,56.0,-18.75
