label,date,fvg_tf,fvg_dir,fvg_low,fvg_high,fvg_size,nine_low,nine_high,bias,fvg_distance_from_9am,outcome,peak,min_after_ret,react_mfe_up,react_mae_dn,ret_ts,trough,max_after_ret,react_mfe_dn,react_mae_up
10AM_FVG,2025-05-05,5,bullish,20092.5,20096.25,3.75,19985.25,20071.25,1,21.25,HIT_9AM,20191.25,20044.75,18.75,40.0,2025-05-05 11:00:00-04:00,,,,
10AM_FVG,2025-05-13,5,bullish,21148.5,21151.0,2.5,20973.25,21132.0,1,16.5,NO_RETRACE,21347.0,,,,,,,,
10AM_FVG,2025-05-13,5,bullish,21180.75,21195.5,14.75,20973.25,21132.0,1,48.75,HELD_AT_FVG,21347.0,21186.5,84.5,22.0,2025-05-13 10:30:00-04:00,,,,
10AM_FVG,2025-05-13,5,bullish,21220.25,21235.75,15.5,20973.25,21132.0,1,88.25,HELD_AT_FVG,21347.0,21230.75,66.0,6.5,2025-05-13 11:05:00-04:00,,,,
10AM_FVG,2025-05-19,5,bullish,21405.0,21411.25,6.25,21154.0,21375.0,1,30.0,BROKE_FVG_HELD_9AM,21545.5,21376.25,30.0,28.75,2025-05-19 10:26:00-04:00,,,,
10AM_FVG,2025-05-21,5,bullish,21424.5,21447.0,22.5,21261.0,21405.0,1,19.5,PIERCED_9AM,21558.5,21071.75,1.0,311.0,2025-05-21 13:12:00-04:00,,,,
10AM_FVG,2025-05-27,5,bullish,21343.0,21344.0,1.0,21193.25,21316.0,1,27.0,NO_RETRACE,21488.25,,,,,,,,
10AM_FVG,2025-06-03,5,bullish,21615.75,21625.5,9.75,21510.0,21606.0,1,9.75,NO_RETRACE,21759.75,,,,,,,,
10AM_FVG,2025-06-03,5,bullish,21636.5,21638.75,2.25,21510.0,21606.0,1,30.5,BROKE_FVG_HELD_9AM,21759.75,21635.0,75.0,8.75,2025-06-03 14:10:00-04:00,,,,
10AM_FVG,2025-06-03,5,bullish,21648.75,21660.5,11.75,21510.0,21606.0,1,42.75,BROKE_FVG_HELD_9AM,21759.75,21635.0,34.75,6.25,2025-06-03 11:07:00-04:00,,,,
10AM_FVG,2025-06-12,5,bullish,21903.0,21907.5,4.5,21816.0,21892.0,1,11.0,HIT_9AM,21977.5,21881.75,68.5,27.25,2025-06-12 10:25:00-04:00,,,,
10AM_FVG,2025-06-12,5,bullish,21927.5,21934.0,6.5,21816.0,21892.0,1,35.5,HIT_9AM,21977.5,21881.75,43.5,52.25,2025-06-12 10:51:00-04:00,,,,
10AM_FVG,2025-06-16,5,bullish,21969.5,21970.25,0.75,21790.25,21944.75,1,24.75,HIT_9AM,21996.5,21910.5,28.0,21.5,2025-06-16 10:36:00-04:00,,,,
10AM_FVG,2025-06-18,5,bullish,21816.25,21817.5,1.25,21703.5,21801.5,1,14.75,PIERCED_9AM,21872.75,21660.0,32.25,22.25,2025-06-18 11:43:00-04:00,,,,
10AM_FVG,2025-06-18,5,bullish,21828.75,21829.25,0.5,21703.5,21801.5,1,27.25,PIERCED_9AM,21872.75,21660.0,17.25,37.25,2025-06-18 11:17:00-04:00,,,,
10AM_FVG,2025-06-18,5,bullish,21839.5,21839.75,0.25,21703.5,21801.5,1,38.0,PIERCED_9AM,21872.75,21660.0,20.0,26.5,2025-06-18 10:52:00-04:00,,,,
10AM_FVG,2025-06-27,5,bullish,22786.0,22793.25,7.25,22682.0,22770.25,1,15.75,PIERCED_9AM,22820.0,22600.0,26.75,45.25,2025-06-27 10:46:00-04:00,,,,
