date,bias,extension_pts,min_low_after_peak,hit_9am,pierced,max_high_after_trough
2025-05-07,1,110.25,19839.0,True,True,
2025-05-08,-1,83.0,,True,True,20337.5
2025-05-12,-1,56.5,,True,True,20954.25
2025-05-15,1,190.25,21303.5,True,False,
2025-05-20,-1,56.0,,True,False,21452.0
2025-05-22,1,44.75,21166.25,True,False,
2025-05-23,1,130.25,20958.5,False,False,
2025-05-28,-1,102.5,,False,False,21390.25
2025-05-29,-1,184.5,,False,False,21484.0
2025-05-30,-1,163.25,,True,True,21433.25
2025-06-02,1,85.75,21495.75,False,False,
2025-06-05,-1,188.25,,False,False,21675.25
2025-06-10,1,99.0,21910.75,False,False,
2025-06-11,-1,124.75,,False,False,21914.75
2025-06-13,1,59.5,21601.25,True,True,
2025-06-17,1,21.25,21683.75,True,True,
2025-06-23,1,163.75,22069.5,False,False,
2025-06-24,1,114.5,22405.25,False,False,
2025-07-07,-1,120.0,,False,False,22892.75
2025-07-08,-1,39.0,,True,True,22962.75
2025-07-10,-1,38.0,,True,False,23050.0
2025-07-11,1,54.0,22924.25,True,False,
2025-07-16,-1,121.75,,True,True,23100.0
2025-07-21,1,29.0,23328.25,True,False,
2025-07-24,1,24.25,23372.25,True,False,
2025-07-25,1,69.0,23408.0,True,False,
2025-07-30,-1,95.25,,True,False,23490.5
2025-08-01,-1,69.75,,True,False,22945.0
2025-08-04,1,50.0,23293.0,False,False,
2025-08-11,1,59.5,23587.0,True,True,
2025-08-12,-1,28.0,,True,True,23949.25
2025-08-14,1,45.25,23862.75,True,False,
2025-08-15,-1,35.75,,True,False,23847.75
2025-08-20,-1,110.75,,True,False,23368.5
2025-08-21,-1,55.5,,True,False,23254.75
2025-08-25,1,96.25,23488.75,True,False,
2025-09-02,1,29.0,23261.75,False,False,
2025-09-03,-1,51.5,,True,False,23454.75
2025-09-04,-1,47.25,,True,True,23680.5
2025-09-10,-1,109.25,,False,False,23892.75
2025-09-16,-1,23.0,,True,False,24322.75
2025-09-17,-1,219.5,,True,True,24308.0
2025-09-23,-1,153.25,,False,False,24846.0
2025-09-24,-1,157.0,,False,False,24755.0
2025-09-29,1,20.0,24780.5,True,True,
2025-10-02,-1,20.5,,True,False,25126.75
2025-10-03,-1,177.0,,False,False,25044.75
2025-10-07,-1,231.75,,False,False,25092.0
2025-10-08,1,160.25,25327.0,False,False,
2025-10-13,1,71.75,24882.5,True,False,
2025-10-15,-1,233.5,,True,False,24959.25
2025-10-16,-1,382.75,,False,False,24846.0
2025-10-17,1,164.25,24979.5,False,False,
2025-10-22,-1,367.5,,False,False,25058.5
2025-10-23,1,108.5,25230.75,False,False,
2025-10-28,1,138.0,26158.0,False,False,
2025-10-30,1,32.25,25868.25,True,True,
2025-10-31,-1,192.5,,True,False,26118.25
2025-11-05,1,187.75,25730.0,False,False,
2025-11-10,1,102.25,25709.0,False,False,
2025-11-11,1,49.75,25619.25,True,False,
2025-11-12,-1,72.75,,True,False,25651.5
2025-11-13,-1,278.75,,False,False,25144.75
2025-11-18,-1,142.0,,True,False,24810.25
2025-11-19,1,86.5,24508.0,True,True,
2025-11-26,-1,21.0,,True,True,25375.5
2025-12-01,1,116.0,25356.75,True,False,
2025-12-04,-1,53.0,,True,False,25633.0
2025-12-10,-1,38.75,,True,True,25869.75
2025-12-16,1,47.25,25131.5,True,False,
2025-12-22,-1,41.5,,True,False,25731.25
2025-12-23,1,69.0,25803.25,False,False,
2025-12-26,-1,30.25,,True,False,25911.0
2026-01-05,1,34.75,25548.5,True,False,
2026-01-06,1,76.25,25813.0,False,False,
2026-01-08,-1,28.0,,True,False,25713.5
2026-01-09,-1,32.5,,True,True,25986.0
2026-01-12,1,95.75,25950.5,False,False,
2026-01-15,-1,162.0,,False,False,25720.0
2026-01-20,1,61.0,25099.0,True,True,
2026-02-03,-1,405.0,,False,False,25459.25
2026-02-04,-1,402.0,,False,False,25119.25
2026-02-06,1,237.5,25143.25,False,False,
2026-02-10,1,36.75,25197.5,True,True,
2026-02-16,-1,21.75,,True,False,24771.25
2026-02-17,-1,26.5,,True,True,24889.5
2026-02-18,1,169.75,24856.0,True,False,
2026-02-19,1,41.75,24748.0,True,True,
2026-02-25,1,44.75,25372.25,False,False,
2026-02-27,1,98.0,24873.5,True,False,
2026-03-02,1,201.0,24947.0,False,False,
2026-03-05,1,20.25,24774.0,True,True,
2026-03-10,-1,53.0,,True,True,25217.75
2026-03-11,1,64.5,24873.75,True,True,
2026-03-12,-1,87.5,,False,False,24566.75
2026-03-16,1,72.0,24636.5,True,False,
2026-03-19,1,166.5,24329.75,False,False,
2026-03-23,-1,127.5,,True,False,24537.0
2026-03-25,-1,72.75,,True,False,24493.75
2026-03-27,-1,203.0,,False,False,23351.25
2026-03-30,-1,268.75,,False,False,23165.0
2026-03-31,1,396.5,23882.0,False,False,
2026-04-06,1,35.0,24202.5,True,True,
2026-04-09,1,160.5,25241.75,False,False,
2026-04-10,1,21.5,25222.0,True,True,
2026-04-21,1,43.25,26551.75,True,True,
2026-04-23,1,53.5,26680.0,True,True,
2026-04-30,-1,41.5,,True,True,27624.5
