date,nine_open,nine_high,nine_low,nine_close,nine_range,n45_open,n45_high,n45_low,n45_close,n45_range,1h_L0,1h_L25,1h_L50,1h_L75,1h_L100,5m_L0,5m_L25,5m_L50,5m_L75,5m_L100,ten_open,bias_dir,above_50_at_10,continuation,chop_score,close_10_11,mfe_10_11,mae_10_11,range_10_11,close_10_12,mfe_10_12,mae_10_12,range_10_12,close_10_13,mfe_10_13,mae_10_13,range_10_13,close_10_15,mfe_10_15,mae_10_15,range_10_15,close_10_16,mfe_10_16,mae_10_16,range_10_16
2025-05-02,20095.5,20141.5,20019.5,20072.75,122.0,20100.5,20115.5,20046.25,20058.25,69.25,20019.5,20050.0,20080.5,20111.0,20141.5,20046.25,20063.5625,20080.875,20098.1875,20115.5,20069.25,-1,0,reversal,0.0,96.75,111.75,-8.0,119.75,127.75,137.5,-8.0,145.5,172.0,196.75,-8.0,204.75,152.75,207.75,-8.0,215.75,116.25,207.75,-8.0,215.75
2025-05-05,20004.25,20071.25,19985.25,20059.75,86.0,20034.25,20061.5,20022.75,20044.5,38.75,19985.25,20006.75,20028.25,20049.75,20071.25,20022.75,20032.4375,20042.125,20051.8125,20061.5,20059.75,1,1,continuation,0.0,44.5,55.75,-50.75,106.5,42.5,64.5,-50.75,115.25,74.5,86.25,-50.75,137.0,92.0,131.5,-50.75,182.25,5.75,131.5,-50.75,182.25
2025-05-06,19840.0,19864.5,19746.75,19756.5,117.75,19847.25,19861.5,19797.0,19799.5,64.5,19746.75,19776.1875,19805.625,19835.0625,19864.5,19797.0,19813.125,19829.25,19845.375,19861.5,19757.0,-1,0,continuation,0.0,148.25,181.0,-18.75,199.75,139.5,196.0,-18.75,214.75,107.75,270.0,-18.75,288.75,197.0,270.0,-18.75,288.75,118.75,270.0,-18.75,288.75
2025-05-07,19932.75,19944.75,19858.0,19936.25,86.75,19924.0,19936.5,19858.0,19874.0,78.5,19858.0,19879.6875,19901.375,19923.0625,19944.75,19858.0,19877.625,19897.25,19916.875,19936.5,19937.0,1,1,continuation,0.4,-94.0,40.75,-107.75,148.5,-87.0,40.75,-152.25,193.0,-38.25,40.75,-152.25,193.0,-51.25,40.75,-258.5,299.25,13.0,118.0,-258.5,376.5
2025-05-08,20174.5,20184.0,20061.0,20090.0,123.0,20123.25,20125.75,20061.0,20076.5,64.75,20061.0,20091.75,20122.5,20153.25,20184.0,20061.0,20077.1875,20093.375,20109.5625,20125.75,20089.5,-1,0,continuation,0.4,-72.5,35.25,-111.5,146.75,183.25,227.25,-111.5,338.75,242.0,248.0,-111.5,359.5,194.5,248.0,-111.5,359.5,63.25,248.0,-111.5,359.5
2025-05-09,20232.75,20279.75,20204.5,20254.25,75.25,20227.25,20250.0,20220.0,20240.5,30.0,20204.5,20223.3125,20242.125,20260.9375,20279.75,20220.0,20227.5,20235.0,20242.5,20250.0,20254.0,1,1,reversal,0.4,-111.75,21.0,-196.5,217.5,-84.0,21.0,-196.5,217.5,-166.25,21.0,-196.5,217.5,-112.25,21.0,-196.5,217.5,-117.5,21.0,-196.5,217.5
2025-05-12,20916.5,20940.0,20746.5,20786.75,193.5,20778.0,20800.75,20754.25,20797.25,46.5,20746.5,20794.875,20843.25,20891.625,20940.0,20754.25,20765.875,20777.5,20789.125,20800.75,20788.5,-1,0,continuation,0.0,-17.75,61.0,-98.5,159.5,-23.5,61.0,-98.5,159.5,89.25,95.0,-98.5,193.5,107.5,157.75,-98.5,256.25,161.25,165.75,-98.5,264.25
2025-05-13,21008.25,21132.0,20973.25,21125.0,158.75,21066.75,21071.5,21045.5,21056.0,26.0,20973.25,21012.9375,21052.625,21092.3125,21132.0,21045.5,21052.0,21058.5,21065.0,21071.5,21125.0,1,1,continuation,0.0,125.75,133.0,-10.5,143.5,158.75,178.25,-10.5,188.75,196.25,213.75,-10.5,224.25,202.25,222.0,-10.5,232.5,145.5,222.0,-10.5,232.5
2025-05-14,21324.75,21404.75,21272.75,21330.75,132.0,21341.75,21345.5,21277.0,21309.25,68.5,21272.75,21305.75,21338.75,21371.75,21404.75,21277.0,21294.125,21311.25,21328.375,21345.5,21331.25,1,0,continuation,0.4,26.25,38.75,-34.75,73.5,44.75,58.75,-43.0,101.75,35.25,88.5,-43.0,131.5,38.25,88.5,-50.0,138.5,65.5,88.5,-50.0,138.5
2025-05-15,21288.0,21339.5,21248.25,21298.75,91.25,21317.5,21321.25,21248.25,21268.75,73.0,21248.25,21271.0625,21293.875,21316.6875,21339.5,21248.25,21266.5,21284.75,21303.0,21321.25,21298.75,1,1,continuation,0.4,36.5,48.25,-42.0,90.25,130.75,147.75,-42.0,189.75,192.75,196.25,-42.0,238.25,94.0,231.0,-42.0,273.0,120.5,231.0,-42.0,273.0
