fvg_date,today,days_since_fvg,fvg_tf,fvg_dir,bias,fvg_low,fvg_high,outcome,peak,min_after_ret,fvg_react_mfe,fvg_react_mae,fvg_bounced,ret_ts,nine_touched,nine_touch_ts,nine_react_mfe,nine_react_mae,nine_penetration,nine_bounced,trough,max_after_ret
2025-05-05,2025-05-07,2,5,bullish,1,20048.75,20055.0,BROKE_FVG_HELD_9AM,20191.25,20009.0,53.5,55.75,True,2025-05-05 10:05:00-04:00,False,,,,,False,,
2025-05-06,2025-05-08,2,5,bearish,-1,19830.75,19833.75,BROKE_FVG_HELD_9AM,,,91.25,80.5,True,2025-05-06 09:32:00-04:00,False,,,,,False,19738.25,20027.0
2025-05-06,2025-05-12,6,5,bearish,-1,19830.75,19833.75,BROKE_FVG_HELD_9AM,,,91.25,80.5,True,2025-05-06 09:32:00-04:00,False,,,,,False,19738.25,20027.0
2025-05-06,2025-05-08,2,5,bearish,-1,19818.5,19827.25,BROKE_FVG_HELD_9AM,,,78.5,93.25,True,2025-05-06 09:31:00-04:00,False,,,,,False,19738.25,20027.0
2025-05-06,2025-05-12,6,5,bearish,-1,19818.5,19827.25,BROKE_FVG_HELD_9AM,,,78.5,93.25,True,2025-05-06 09:31:00-04:00,False,,,,,False,19738.25,20027.0
2025-05-06,2025-05-08,2,5,bearish,-1,19800.5,19838.25,BROKE_FVG_HELD_9AM,,,6.0,154.0,False,2025-05-06 10:02:00-04:00,False,,,,,False,19738.25,20027.0
2025-05-06,2025-05-12,6,5,bearish,-1,19800.5,19838.25,BROKE_FVG_HELD_9AM,,,6.0,154.0,False,2025-05-06 10:02:00-04:00,False,,,,,False,19738.25,20027.0
2025-05-06,2025-05-08,2,5,bearish,-1,19782.75,19797.0,BROKE_FVG_HELD_9AM,,,32.75,155.25,True,2025-05-06 10:01:00-04:00,False,,,,,False,19738.25,20027.0
2025-05-06,2025-05-12,6,5,bearish,-1,19782.75,19797.0,BROKE_FVG_HELD_9AM,,,32.75,155.25,True,2025-05-06 10:01:00-04:00,False,,,,,False,19738.25,20027.0
2025-05-07,2025-05-08,1,5,bearish,-1,19922.0,19926.5,BROKE_FVG_HELD_9AM,,,57.0,62.75,True,2025-05-07 09:41:00-04:00,False,,,,,False,19678.5,20055.0
2025-05-07,2025-05-12,5,5,bearish,-1,19922.0,19926.5,BROKE_FVG_HELD_9AM,,,57.0,62.75,True,2025-05-07 09:41:00-04:00,False,,,,,False,19678.5,20055.0
2025-05-07,2025-05-08,1,5,bearish,-1,19897.5,19907.0,BROKE_FVG_HELD_9AM,,,39.75,55.5,True,2025-05-07 09:15:00-04:00,False,,,,,False,19678.5,20055.0
2025-05-07,2025-05-12,5,5,bearish,-1,19897.5,19907.0,BROKE_FVG_HELD_9AM,,,39.75,55.5,True,2025-05-07 09:15:00-04:00,False,,,,,False,19678.5,20055.0
