date,bias,sweep_ts,pattern_ts,retest_ts,entry_hour,minutes_sweep_to_pattern,minutes_pattern_to_retest,ob_low,ob_high,fvg_low,fvg_high,fvg_size,entry_px,stop_px,stop_dist,t1_px,t2_px,t1_dist,t2_dist,t1_R,t2_R,t1_outcome,t1_pnl,t2_outcome,t2_pnl,t1_minutes_held,t2_minutes_held
2025-05-02,-1,2025-05-02 10:03:00-04:00,2025-05-02 10:31:00-04:00,2025-05-02 10:39:00-04:00,10,28,8,20172.75,20180.5,20163.5,20172.75,9.25,20166.0,20182.5,16.5,20046.25,20019.5,119.75,146.5,7.257575757575758,8.878787878787879,stop,-16.5,stop,-16.5,36,36
2025-05-06,-1,2025-05-06 10:17:00-04:00,2025-05-06 10:50:00-04:00,2025-05-06 11:00:00-04:00,11,33,10,19926.25,19935.75,19918.0,19926.25,8.25,19918.0,19937.75,19.75,19797.0,19746.75,121.0,171.25,6.1265822784810124,8.670886075949367,stop,-19.75,stop,-19.75,23,23
2025-05-07,1,2025-05-07 10:54:00-04:00,2025-05-07 11:44:00-04:00,2025-05-07 11:46:00-04:00,11,50,2,19835.0,19844.25,19844.25,19845.0,0.75,19840.0,19833.0,7.0,19936.5,19944.75,96.5,104.75,13.785714285714286,14.964285714285714,stop,-7.0,stop,-7.0,1,1
2025-05-08,-1,2025-05-08 11:20:00-04:00,2025-05-08 11:56:00-04:00,2025-05-08 11:57:00-04:00,11,36,1,20281.25,20294.75,20280.5,20281.25,0.75,20270.5,20296.75,26.25,20061.0,20061.0,209.5,209.5,7.980952380952381,7.980952380952381,stop,-26.25,stop,-26.25,8,8
2025-05-09,1,2025-05-09 09:52:00-04:00,2025-05-09 10:49:00-04:00,2025-05-09 10:53:00-04:00,10,57,4,20094.5,20109.75,20109.75,20117.25,7.5,20110.0,20092.5,17.5,20250.0,20279.75,140.0,169.75,8.0,9.7,stop,-17.5,stop,-17.5,77,77
2025-05-12,-1,2025-05-12 09:50:00-04:00,2025-05-12 10:25:00-04:00,2025-05-12 10:54:00-04:00,10,35,29,20813.5,20828.0,20810.75,20813.5,2.75,20809.25,20830.0,20.75,20754.25,20746.5,55.0,62.75,2.6506024096385543,3.0240963855421685,target,55.0,stop,-20.75,30,89
2025-05-14,1,2025-05-14 09:56:00-04:00,2025-05-14 10:23:00-04:00,2025-05-14 10:34:00-04:00,10,27,11,21307.75,21318.25,21318.25,21327.75,9.5,21334.0,21305.75,28.25,21345.5,21404.75,11.5,70.75,0.40707964601769914,2.504424778761062,target,11.5,stop,-28.25,15,30
2025-05-16,1,2025-05-16 10:00:00-04:00,2025-05-16 10:55:00-04:00,2025-05-16 10:56:00-04:00,10,55,1,21377.25,21387.75,21387.75,21394.75,7.0,21397.5,21375.25,22.25,21440.25,21504.5,42.75,107.0,1.9213483146067416,4.808988764044944,stop,-22.25,stop,-22.25,2,2
2025-05-29,-1,2025-05-29 09:52:00-04:00,2025-05-29 09:57:00-04:00,2025-05-29 10:02:00-04:00,10,5,5,21537.75,21557.0,21528.5,21537.75,9.25,21520.5,21559.0,38.5,21486.75,21485.5,33.75,35.0,0.8766233766233766,0.9090909090909091,target,33.75,target,35.0,2,3
2025-06-03,1,2025-06-03 09:50:00-04:00,2025-06-03 10:13:00-04:00,2025-06-03 10:14:00-04:00,10,23,1,21586.25,21598.5,21598.5,21600.25,1.75,21606.0,21584.25,21.75,21599.25,21606.0,6.75,0.0,0.3103448275862069,0.0,target,-6.75,target,0.0,1,1
2025-06-04,1,2025-06-04 09:51:00-04:00,2025-06-04 10:48:00-04:00,2025-06-04 10:50:00-04:00,10,57,2,21705.0,21720.5,21720.5,21722.0,1.5,21720.25,21703.0,17.25,21786.5,21793.5,66.25,73.25,3.8405797101449277,4.246376811594203,target,66.25,target,73.25,185,190
2025-06-06,1,2025-06-06 09:54:00-04:00,2025-06-06 10:36:00-04:00,2025-06-06 11:17:00-04:00,11,42,41,21788.0,21798.25,21798.25,21806.75,8.5,21808.5,21786.0,22.5,21863.5,21863.5,55.0,55.0,2.4444444444444446,2.4444444444444446,stop,-22.5,stop,-22.5,1,1
2025-06-12,1,2025-06-12 09:55:00-04:00,2025-06-12 10:41:00-04:00,2025-06-12 10:42:00-04:00,10,46,1,21931.75,21938.25,21938.25,21939.25,1.0,21937.25,21929.75,7.5,21889.75,21892.0,47.5,45.25,6.333333333333333,6.033333333333333,target,-47.5,target,-45.25,1,1
2025-06-24,1,2025-06-24 09:50:00-04:00,2025-06-24 10:18:00-04:00,2025-06-24 10:19:00-04:00,10,28,1,22296.5,22307.25,22307.25,22313.75,6.5,22314.0,22294.5,19.5,22333.25,22333.25,19.25,19.25,0.9871794871794872,0.9871794871794872,stop,-19.5,stop,-19.5,9,9
2025-06-25,1,2025-06-25 09:50:00-04:00,2025-06-25 09:56:00-04:00,2025-06-25 09:59:00-04:00,9,6,3,22504.5,22513.0,22513.0,22517.25,4.25,22522.5,22502.5,20.0,22546.5,22548.25,24.0,25.75,1.2,1.2875,stop,-20.0,stop,-20.0,3,3
2025-06-27,1,2025-06-27 09:51:00-04:00,2025-06-27 10:04:00-04:00,2025-06-27 10:09:00-04:00,10,13,5,22781.5,22789.5,22789.5,22790.75,1.25,22796.75,22779.5,17.25,22745.0,22770.25,51.75,26.5,3.0,1.536231884057971,target,-51.75,target,-26.5,1,1
2025-06-30,-1,2025-06-30 09:59:00-04:00,2025-06-30 10:21:00-04:00,2025-06-30 10:23:00-04:00,10,22,2,22827.25,22837.25,22822.75,22827.25,4.5,22820.75,22839.25,18.5,22795.25,22795.0,25.5,25.75,1.3783783783783783,1.3918918918918919,stop,-18.5,stop,-18.5,6,6
2025-07-08,-1,2025-07-08 09:52:00-04:00,2025-07-08 10:42:00-04:00,2025-07-08 10:43:00-04:00,10,50,1,22934.5,22942.75,22927.25,22934.5,7.25,22928.0,22944.75,16.75,22902.25,22880.0,25.75,48.0,1.537313432835821,2.8656716417910446,target,25.75,target,48.0,2,9
2025-07-09,1,2025-07-09 10:27:00-04:00,2025-07-09 11:20:00-04:00,2025-07-09 11:38:00-04:00,11,53,18,22927.0,22938.25,22938.25,22949.75,11.5,22955.5,22925.0,30.5,23088.75,23097.0,133.25,141.5,4.368852459016393,4.639344262295082,eod,95.0,eod,95.0,262,262
2025-07-15,-1,2025-07-15 10:11:00-04:00,2025-07-15 10:32:00-04:00,2025-07-15 10:33:00-04:00,10,21,1,23169.5,23185.75,23167.25,23169.5,2.25,23164.25,23187.75,23.5,23142.25,23122.75,22.0,41.5,0.9361702127659575,1.7659574468085106,target,22.0,target,41.5,10,19
2025-07-16,-1,2025-07-16 10:51:00-04:00,2025-07-16 10:55:00-04:00,2025-07-16 10:56:00-04:00,10,4,1,23019.0,23035.0,23012.0,23019.0,7.0,23010.75,23037.0,26.25,22996.25,22957.5,14.5,53.25,0.5523809523809524,2.0285714285714285,target,14.5,stop,-26.25,1,18
2025-07-17,1,2025-07-17 10:24:00-04:00,2025-07-17 10:33:00-04:00,2025-07-17 10:38:00-04:00,10,9,5,23148.5,23154.75,23154.75,23163.25,8.5,23164.0,23146.5,17.5,23138.0,23158.5,26.0,5.5,1.4857142857142858,0.3142857142857143,target,-26.0,target,-5.5,1,1
2025-07-23,-1,2025-07-23 11:00:00-04:00,2025-07-23 11:25:00-04:00,2025-07-23 11:27:00-04:00,11,25,2,23207.25,23211.75,23204.0,23207.25,3.25,23203.0,23213.75,10.75,23162.25,23157.75,40.75,45.25,3.7906976744186047,4.209302325581396,stop,-10.75,stop,-10.75,3,3
2025-07-24,1,2025-07-24 09:54:00-04:00,2025-07-24 10:19:00-04:00,2025-07-24 10:20:00-04:00,10,25,1,23302.0,23319.25,23319.25,23330.5,11.25,23336.25,23300.0,36.25,23400.75,23400.75,64.5,64.5,1.7793103448275862,1.7793103448275862,target,64.5,target,64.5,172,172
2025-07-28,1,2025-07-28 11:19:00-04:00,2025-07-28 12:14:00-04:00,2025-07-28 12:31:00-04:00,12,55,17,23476.0,23481.25,23481.25,23484.0,2.75,23485.25,23474.0,11.25,23519.0,23525.0,33.75,39.75,3.0,3.533333333333333,stop,-11.25,stop,-11.25,31,31
2025-07-29,1,2025-07-29 09:50:00-04:00,2025-07-29 10:29:00-04:00,2025-07-29 10:32:00-04:00,10,39,3,23538.75,23551.75,23551.75,23553.75,2.0,23562.25,23536.75,25.5,23626.0,23652.25,63.75,90.0,2.5,3.5294117647058822,stop,-25.5,stop,-25.5,19,19
2025-07-30,-1,2025-07-30 10:32:00-04:00,2025-07-30 10:58:00-04:00,2025-07-30 11:57:00-04:00,11,26,59,23536.25,23541.25,23527.0,23536.25,9.25,23525.0,23543.25,18.25,23486.25,23450.25,38.75,74.75,2.1232876712328768,4.095890410958904,stop,-18.25,stop,-18.25,19,19
2025-08-01,-1,2025-08-01 10:16:00-04:00,2025-08-01 10:39:00-04:00,2025-08-01 10:41:00-04:00,10,23,2,23007.75,23020.25,22992.25,23007.75,15.5,22990.0,23022.25,32.25,22865.25,22858.0,124.75,132.0,3.868217054263566,4.093023255813954,stop,-32.25,stop,-32.25,81,81
2025-08-05,1,2025-08-05 10:00:00-04:00,2025-08-05 10:07:00-04:00,2025-08-05 10:08:00-04:00,10,7,1,23318.75,23338.5,23338.5,23340.5,2.0,23330.75,23316.75,14.0,23397.25,23397.25,66.5,66.5,4.75,4.75,stop,-14.0,stop,-14.0,4,4
2025-08-07,1,2025-08-07 10:24:00-04:00,2025-08-07 10:44:00-04:00,2025-08-07 10:46:00-04:00,10,20,2,23555.0,23563.5,23563.5,23572.0,8.5,23560.0,23553.0,7.0,23610.75,23659.0,50.75,99.0,7.25,14.142857142857142,stop,-7.0,stop,-7.0,1,1
2025-08-11,1,2025-08-11 09:53:00-04:00,2025-08-11 10:11:00-04:00,2025-08-11 10:12:00-04:00,10,18,1,23736.0,23742.25,23742.25,23750.25,8.0,23749.0,23734.0,15.0,23736.75,23745.0,12.25,4.0,0.8166666666666667,0.26666666666666666,target,-12.25,target,-4.0,1,1
2025-08-13,-1,2025-08-13 09:50:00-04:00,2025-08-13 10:11:00-04:00,2025-08-13 10:12:00-04:00,10,21,1,23994.0,24007.75,23988.5,23994.0,5.5,23987.5,24009.75,22.25,24026.5,24005.0,39.0,17.5,1.752808988764045,0.7865168539325843,target,-39.0,target,-17.5,1,1
2025-08-14,1,2025-08-14 09:55:00-04:00,2025-08-14 10:29:00-04:00,2025-08-14 10:57:00-04:00,10,34,28,23936.0,23946.75,23946.75,23948.75,2.0,23948.0,23934.0,14.0,23937.75,23960.25,10.25,12.25,0.7321428571428571,0.875,target,-10.25,target,12.25,1,3
2025-08-15,-1,2025-08-15 10:04:00-04:00,2025-08-15 10:21:00-04:00,2025-08-15 10:23:00-04:00,10,17,2,23860.25,23871.5,23860.0,23860.25,0.25,23865.5,23873.5,8.0,23776.75,23770.5,88.75,95.0,11.09375,11.875,stop,-8.0,stop,-8.0,5,5
2025-08-22,1,2025-08-22 09:56:00-04:00,2025-08-22 10:35:00-04:00,2025-08-22 10:39:00-04:00,10,39,4,23564.75,23585.75,23585.75,23586.5,0.75,23585.5,23562.75,22.75,23337.25,23343.0,248.25,242.5,10.912087912087912,10.659340659340659,target,-248.25,target,-242.5,1,1
2025-09-03,-1,2025-09-03 09:50:00-04:00,2025-09-03 09:56:00-04:00,2025-09-03 09:57:00-04:00,9,6,1,23398.5,23412.0,23393.25,23398.5,5.25,23383.75,23414.0,30.25,23369.75,23369.75,14.0,14.0,0.4628099173553719,0.4628099173553719,stop,-30.25,stop,-30.25,3,3
2025-09-04,-1,2025-09-04 10:36:00-04:00,2025-09-04 10:43:00-04:00,2025-09-04 10:46:00-04:00,10,7,3,23514.25,23524.5,23506.75,23514.25,7.5,23508.25,23526.5,18.25,23460.0,23457.25,48.25,51.0,2.643835616438356,2.7945205479452055,stop,-18.25,stop,-18.25,14,14
2025-09-05,-1,2025-09-05 09:51:00-04:00,2025-09-05 10:01:00-04:00,2025-09-05 10:02:00-04:00,10,10,1,23839.75,23855.0,23827.25,23839.75,12.5,23827.5,23857.0,29.5,23835.5,23821.5,8.0,6.0,0.2711864406779661,0.2033898305084746,target,-8.0,target,6.0,1,1
2025-09-23,-1,2025-09-23 10:41:00-04:00,2025-09-23 11:16:00-04:00,2025-09-23 11:17:00-04:00,11,35,1,24960.5,24965.0,24957.75,24960.5,2.75,24961.75,24967.0,5.25,24946.25,24932.5,15.5,29.25,2.9523809523809526,5.571428571428571,stop,-5.25,stop,-5.25,1,1
2025-09-24,-1,2025-09-24 10:04:00-04:00,2025-09-24 10:06:00-04:00,2025-09-24 10:07:00-04:00,10,2,1,24825.25,24841.0,24823.25,24825.25,2.0,24824.5,24843.0,18.5,24804.5,24785.0,20.0,39.5,1.0810810810810811,2.135135135135135,target,20.0,target,39.5,26,63
2025-09-25,-1,2025-09-25 09:50:00-04:00,2025-09-25 09:58:00-04:00,2025-09-25 09:59:00-04:00,9,8,1,24458.5,24472.25,24453.25,24458.5,5.25,24452.75,24474.25,21.5,24424.5,24422.0,28.25,30.75,1.313953488372093,1.430232558139535,stop,-21.5,stop,-21.5,1,1
2025-09-26,1,2025-09-26 10:06:00-04:00,2025-09-26 10:52:00-04:00,2025-09-26 10:59:00-04:00,10,46,7,24550.0,24567.5,24567.5,24573.0,5.5,24565.5,24548.0,17.5,24711.75,24716.0,146.25,150.5,8.357142857142858,8.6,stop,-17.5,stop,-17.5,16,16
2025-10-03,-1,2025-10-03 09:52:00-04:00,2025-10-03 10:01:00-04:00,2025-10-03 10:16:00-04:00,10,9,15,25102.25,25111.5,25090.5,25102.25,11.75,25098.25,25113.5,15.25,25130.0,25100.0,31.75,1.75,2.081967213114754,0.11475409836065574,target,-31.75,target,-1.75,1,1
2025-10-06,-1,2025-10-06 10:00:00-04:00,2025-10-06 10:41:00-04:00,2025-10-06 10:43:00-04:00,10,41,2,25136.25,25144.0,25133.75,25136.25,2.5,25136.5,25146.0,9.5,25135.25,25117.0,1.25,19.5,0.13157894736842105,2.0526315789473686,target,1.25,stop,-9.5,1,5
2025-10-09,-1,2025-10-09 09:50:00-04:00,2025-10-09 10:26:00-04:00,2025-10-09 11:00:00-04:00,11,36,34,25268.25,25276.75,25267.0,25268.25,1.25,25265.25,25278.75,13.5,25253.75,25250.0,11.5,15.25,0.8518518518518519,1.1296296296296295,target,11.5,target,15.25,2,2
2025-10-10,1,2025-10-10 09:50:00-04:00,2025-10-10 09:59:00-04:00,2025-10-10 10:01:00-04:00,10,9,2,25342.75,25353.5,25353.5,25356.0,2.5,25325.0,25340.75,15.75,25388.0,25388.0,63.0,63.0,4.0,4.0,stop,15.75,stop,15.75,1,1
2025-10-15,-1,2025-10-15 09:54:00-04:00,2025-10-15 10:12:00-04:00,2025-10-15 10:13:00-04:00,10,18,1,25091.0,25110.5,25088.75,25091.0,2.25,25089.25,25112.5,23.25,24897.0,24897.0,192.25,192.25,8.268817204301076,8.268817204301076,stop,-23.25,stop,-23.25,13,13
2025-10-17,1,2025-10-17 11:36:00-04:00,2025-10-17 11:49:00-04:00,2025-10-17 11:50:00-04:00,11,13,1,24789.25,24805.25,24805.25,24821.25,16.0,24828.0,24787.25,40.75,24786.5,24890.0,41.5,62.0,1.01840490797546,1.521472392638037,target,-41.5,target,62.0,1,12
2025-10-21,-1,2025-10-21 09:50:00-04:00,2025-10-21 10:09:00-04:00,2025-10-21 10:10:00-04:00,10,19,1,25241.75,25252.25,25239.75,25241.75,2.0,25239.5,25254.25,14.75,25219.25,25213.75,20.25,25.75,1.3728813559322033,1.7457627118644068,stop,-14.75,stop,-14.75,7,7
2025-10-22,-1,2025-10-22 09:50:00-04:00,2025-10-22 10:03:00-04:00,2025-10-22 10:07:00-04:00,10,13,4,25266.0,25281.0,25261.5,25266.0,4.5,25261.75,25283.0,21.25,25235.75,25172.75,26.0,89.0,1.223529411764706,4.188235294117647,target,26.0,target,89.0,5,20
2025-10-23,1,2025-10-23 10:19:00-04:00,2025-10-23 10:46:00-04:00,2025-10-23 10:51:00-04:00,10,27,5,25158.25,25169.25,25169.25,25173.75,4.5,25179.0,25156.25,22.75,25139.25,25179.75,39.75,0.75,1.7472527472527473,0.03296703296703297,target,-39.75,stop,-22.75,1,2
2025-10-24,1,2025-10-24 09:50:00-04:00,2025-10-24 10:40:00-04:00,2025-10-24 10:49:00-04:00,10,50,9,25501.0,25508.0,25508.0,25509.75,1.75,25514.25,25499.0,15.25,25550.5,25550.5,36.25,36.25,2.377049180327869,2.377049180327869,stop,-15.25,stop,-15.25,2,2
2025-10-27,1,2025-10-27 09:50:00-04:00,2025-10-27 10:04:00-04:00,2025-10-27 10:05:00-04:00,10,14,1,25855.0,25863.25,25863.25,25863.75,0.5,25866.5,25853.0,13.5,25850.0,25859.75,16.5,6.75,1.2222222222222223,0.5,target,-16.5,target,-6.75,1,1
2025-10-28,1,2025-10-28 09:51:00-04:00,2025-10-28 09:56:00-04:00,2025-10-28 10:20:00-04:00,10,5,24,26029.0,26045.0,26045.0,26049.75,4.75,26052.25,26027.0,25.25,26080.75,26094.0,28.5,41.75,1.1287128712871286,1.6534653465346534,stop,-25.25,stop,-25.25,11,11
2025-11-07,-1,2025-11-07 09:52:00-05:00,2025-11-07 10:42:00-05:00,2025-11-07 10:43:00-05:00,10,50,1,24889.0,24913.5,24886.0,24889.0,3.0,24879.75,24915.5,35.75,24932.25,24917.5,52.5,37.75,1.4685314685314685,1.055944055944056,target,-52.5,target,-37.75,1,1
2025-11-10,1,2025-11-10 09:50:00-05:00,2025-11-10 10:21:00-05:00,2025-11-10 10:30:00-05:00,10,31,9,25610.5,25634.5,25634.5,25638.0,3.5,25648.0,25608.5,39.5,25647.5,25657.75,0.5,9.75,0.012658227848101266,0.2468354430379747,target,-0.5,target,9.75,1,2
2025-11-12,-1,2025-11-12 10:10:00-05:00,2025-11-12 10:47:00-05:00,2025-11-12 10:48:00-05:00,10,37,1,25592.0,25612.0,25587.0,25592.0,5.0,25576.5,25614.0,37.5,25571.0,25561.5,5.5,15.0,0.14666666666666667,0.4,target,5.5,target,15.0,1,1
2025-11-21,-1,2025-11-21 09:52:00-05:00,2025-11-21 10:36:00-05:00,2025-11-21 10:41:00-05:00,10,44,5,24009.0,24051.75,23989.25,24009.0,19.75,23968.0,24053.75,85.75,24101.0,24101.0,133.0,133.0,1.5510204081632653,1.5510204081632653,target,-133.0,target,-133.0,1,1
2025-11-24,1,2025-11-24 09:50:00-05:00,2025-11-24 10:00:00-05:00,2025-11-24 10:11:00-05:00,10,10,11,24643.0,24675.5,24675.5,24678.25,2.75,24683.5,24641.0,42.5,24690.0,24722.25,6.5,38.75,0.15294117647058825,0.9117647058823529,target,6.5,target,38.75,1,3
2025-11-25,-1,2025-11-25 09:52:00-05:00,2025-11-25 10:01:00-05:00,2025-11-25 10:08:00-05:00,10,9,7,24797.5,24825.75,24793.0,24797.5,4.5,24772.75,24827.75,55.0,24625.0,24602.0,147.75,170.75,2.6863636363636365,3.1045454545454545,stop,-55.0,stop,-55.0,24,24
2025-11-26,-1,2025-11-26 09:50:00-05:00,2025-11-26 09:59:00-05:00,2025-11-26 10:02:00-05:00,10,9,3,25192.25,25221.5,25186.5,25192.25,5.75,25180.25,25223.5,43.25,25232.75,25155.75,52.5,24.5,1.2138728323699421,0.5664739884393064,target,-52.5,target,24.5,1,3
2025-11-27,-1,2025-11-27 10:09:00-05:00,2025-11-27 11:02:00-05:00,2025-11-27 11:16:00-05:00,11,53,14,25300.0,25302.0,25299.25,25300.0,0.75,25299.0,25304.0,5.0,25295.0,25287.0,4.0,12.0,0.8,2.4,target,4.0,stop,-5.0,1,11
2025-11-28,-1,2025-11-28 09:50:00-05:00,2025-11-28 09:59:00-05:00,2025-11-28 10:01:00-05:00,10,9,2,25378.5,25388.75,25378.0,25378.5,0.5,25381.5,25390.75,9.25,25341.75,25329.5,39.75,52.0,4.297297297297297,5.621621621621622,stop,-9.25,stop,-9.25,14,14
2025-12-02,1,2025-12-02 09:53:00-05:00,2025-12-02 10:01:00-05:00,2025-12-02 10:10:00-05:00,10,8,9,25588.75,25605.75,25605.75,25618.0,12.25,25626.0,25586.75,39.25,25604.25,25613.0,21.75,13.0,0.554140127388535,0.33121019108280253,target,-21.75,target,-13.0,1,1
2025-12-05,1,2025-12-05 11:14:00-05:00,2025-12-05 11:52:00-05:00,2025-12-05 12:01:00-05:00,12,38,9,25692.5,25707.5,25707.5,25713.5,6.0,25716.75,25690.5,26.25,25753.5,25803.25,36.75,86.5,1.4,3.295238095238095,stop,-26.25,stop,-26.25,20,20
2025-12-11,-1,2025-12-11 10:21:00-05:00,2025-12-11 10:35:00-05:00,2025-12-11 10:36:00-05:00,10,14,1,25581.0,25594.5,25580.75,25581.0,0.25,25565.75,25596.5,30.75,25483.5,25400.5,82.25,165.25,2.6747967479674797,5.373983739837398,target,82.25,stop,-30.75,14,104
2025-12-12,-1,2025-12-12 09:54:00-05:00,2025-12-12 10:29:00-05:00,2025-12-12 10:31:00-05:00,10,35,2,25365.75,25385.25,25337.5,25365.75,28.25,25344.0,25387.25,43.25,25504.75,25501.5,160.75,157.5,3.7167630057803467,3.6416184971098264,target,-160.75,target,-157.5,1,1
2025-12-17,-1,2025-12-17 09:57:00-05:00,2025-12-17 10:25:00-05:00,2025-12-17 10:28:00-05:00,10,28,3,25087.0,25109.5,25085.0,25087.0,2.0,25088.75,25111.5,22.75,25010.5,25010.5,78.25,78.25,3.4395604395604398,3.4395604395604398,target,78.25,target,78.25,7,7
