date,today_1h_level,today_price,prior_date,prior_5m_level,prior_price,distance_pts,bias_dir,continuation,post_10_13_move,MFE,MAE,chop_score
2025-05-05,1h_L75,20049.75,2025-05-02,5m_L0,20046.25,3.5,1,continuation,74.5,86.25,-50.75,0.0
2025-05-07,1h_L0,19858.0,2025-05-06,5m_L100,19861.5,3.5,1,continuation,-38.25,40.75,-152.25,0.4
2025-05-08,1h_L0,20061.0,2025-05-02,5m_L25,20063.5625,2.5625,-1,continuation,242.0,248.0,-111.5,0.4
2025-05-08,1h_L0,20061.0,2025-05-05,5m_L100,20061.5,0.5,-1,continuation,242.0,248.0,-111.5,0.4
2025-05-15,1h_L50,21293.875,2025-05-14,5m_L25,21294.125,0.25,1,continuation,192.75,196.25,-42.0,0.4
2025-05-19,1h_L50,21264.5,2025-05-15,5m_L25,21266.5,2.0,1,continuation,142.75,146.75,-9.0,0.0
2025-05-19,1h_L75,21319.75,2025-05-15,5m_L100,21321.25,1.5,1,continuation,142.75,146.75,-9.0,0.0
2025-05-20,1h_L50,21406.0,2025-05-16,5m_L0,21409.0,3.0,-1,reversal,64.25,78.5,-31.75,0.4
2025-05-20,1h_L75,21432.0,2025-05-16,5m_L75,21432.4375,0.4375,-1,reversal,64.25,78.5,-31.75,0.4
2025-05-20,1h_L25,21380.0,2025-05-19,5m_L100,21375.0,5.0,-1,reversal,64.25,78.5,-31.75,0.4
2025-05-21,1h_L25,21297.0,2025-05-14,5m_L25,21294.125,2.875,1,continuation,140.75,184.25,-12.0,0.0
2025-05-21,1h_L50,21333.0,2025-05-14,5m_L75,21328.375,4.625,1,continuation,140.75,184.25,-12.0,0.0
2025-05-21,1h_L100,21405.0,2025-05-16,5m_L0,21409.0,4.0,1,continuation,140.75,184.25,-12.0,0.0
2025-05-21,1h_L50,21333.0,2025-05-19,5m_L25,21331.125,1.875,1,continuation,140.75,184.25,-12.0,0.0
2025-05-21,1h_L75,21369.0,2025-05-20,5m_L25,21372.875,3.875,1,continuation,140.75,184.25,-12.0,0.0
2025-05-21,1h_L100,21405.0,2025-05-20,5m_L75,21402.625,2.375,1,continuation,140.75,184.25,-12.0,0.0
2025-05-22,1h_L75,21248.1875,2025-05-15,5m_L0,21248.25,0.0625,1,continuation,-68.25,43.75,-120.0,0.4
2025-05-27,1h_L0,21193.25,2025-05-22,5m_L100,21194.5,1.25,1,continuation,136.25,165.0,-2.25,0.0
2025-05-30,1h_L0,21234.75,2025-05-27,5m_L0,21237.5,2.75,-1,reversal,-150.0,140.75,-187.25,0.4
2025-05-30,1h_L25,21273.75,2025-05-27,5m_L75,21269.0,4.75,-1,reversal,-150.0,140.75,-187.25,0.4
2025-06-02,1h_L25,21307.4375,2025-05-26,5m_L100,21305.0,2.4375,1,reversal,138.5,146.5,-73.5,0.4
2025-06-02,1h_L0,21257.25,2025-05-27,5m_L50,21258.5,1.25,1,reversal,138.5,146.5,-73.5,0.4
2025-06-02,1h_L25,21307.4375,2025-05-30,5m_L50,21308.125,0.6875,1,reversal,138.5,146.5,-73.5,0.4
2025-06-03,1h_L0,21510.0,2025-05-28,5m_L50,21511.875,1.875,1,continuation,145.0,154.5,-35.75,0.0
2025-06-03,1h_L0,21510.0,2025-05-29,5m_L50,21512.125,2.125,1,continuation,145.0,154.5,-35.75,0.0
2025-06-03,1h_L25,21534.0,2025-05-29,5m_L100,21537.5,3.5,1,continuation,145.0,154.5,-35.75,0.0
2025-06-05,1h_L50,21765.875,2025-06-04,5m_L50,21769.375,3.5,-1,reversal,-36.5,212.25,-53.5,0.4
2025-06-06,1h_L25,21775.5625,2025-06-04,5m_L75,21777.9375,2.375,1,continuation,-85.0,30.25,-118.5,0.4
2025-06-09,1h_L0,21750.25,2025-06-04,5m_L0,21752.25,2.0,-1,reversal,82.75,105.25,0.0,0.0
2025-06-09,1h_L25,21767.6875,2025-06-04,5m_L50,21769.375,1.6875,-1,reversal,82.75,105.25,0.0,0.0
2025-06-09,1h_L50,21785.125,2025-06-04,5m_L100,21786.5,1.375,-1,reversal,82.75,105.25,0.0,0.0
2025-06-09,1h_L50,21785.125,2025-06-05,5m_L100,21781.25,3.875,-1,reversal,82.75,105.25,0.0,0.0
2025-06-10,1h_L25,21836.8125,2025-06-06,5m_L0,21837.75,0.9375,1,reversal,52.75,60.0,-114.0,0.4
2025-06-10,1h_L50,21855.625,2025-06-06,5m_L50,21850.625,5.0,1,reversal,52.75,60.0,-114.0,0.4
2025-06-10,1h_L50,21855.625,2025-06-06,5m_L75,21857.0625,1.4375,1,reversal,52.75,60.0,-114.0,0.4
2025-06-12,1h_L25,21835.0,2025-06-06,5m_L0,21837.75,2.75,1,continuation,66.75,120.5,-17.25,0.4
2025-06-12,1h_L50,21854.0,2025-06-06,5m_L50,21850.625,3.375,1,continuation,66.75,120.5,-17.25,0.4
2025-06-12,1h_L50,21854.0,2025-06-06,5m_L75,21857.0625,3.0625,1,continuation,66.75,120.5,-17.25,0.4
2025-06-12,1h_L50,21854.0,2025-06-10,5m_L25,21849.8125,4.1875,1,continuation,66.75,120.5,-17.25,0.4
2025-06-12,1h_L50,21854.0,2025-06-10,5m_L50,21858.375,4.375,1,continuation,66.75,120.5,-17.25,0.4
2025-06-12,1h_L75,21873.0,2025-06-10,5m_L100,21875.5,2.5,1,continuation,66.75,120.5,-17.25,0.4
2025-06-13,1h_L100,21796.25,2025-06-09,5m_L75,21797.1875,0.9375,1,reversal,96.25,124.5,-113.75,0.4
2025-06-16,1h_L0,21790.25,2025-06-09,5m_L50,21790.375,0.125,1,continuation,11.25,68.75,-10.25,0.0
2025-06-16,1h_L50,21867.5,2025-06-10,5m_L75,21866.9375,0.5625,1,continuation,11.25,68.75,-10.25,0.0
2025-06-16,1h_L100,21944.75,2025-06-11,5m_L50,21945.5,0.75,1,continuation,11.25,68.75,-10.25,0.0
2025-06-16,1h_L50,21867.5,2025-06-12,5m_L0,21863.75,3.75,1,continuation,11.25,68.75,-10.25,0.0
2025-06-16,1h_L50,21867.5,2025-06-12,5m_L25,21870.25,2.75,1,continuation,11.25,68.75,-10.25,0.0
2025-06-17,1h_L50,21844.5,2025-06-10,5m_L0,21841.25,3.25,1,continuation,-58.5,38.0,-68.75,0.4
2025-06-17,1h_L75,21865.5,2025-06-10,5m_L75,21866.9375,1.4375,1,continuation,-58.5,38.0,-68.75,0.4
2025-06-17,1h_L75,21865.5,2025-06-12,5m_L0,21863.75,1.75,1,continuation,-58.5,38.0,-68.75,0.4
2025-06-17,1h_L75,21865.5,2025-06-12,5m_L25,21870.25,4.75,1,continuation,-58.5,38.0,-68.75,0.4
2025-06-17,1h_L100,21886.5,2025-06-12,5m_L75,21883.25,3.25,1,continuation,-58.5,38.0,-68.75,0.4
2025-06-17,1h_L100,21886.5,2025-06-12,5m_L100,21889.75,3.25,1,continuation,-58.5,38.0,-68.75,0.4
2025-06-17,1h_L50,21844.5,2025-06-16,5m_L0,21839.5,5.0,1,continuation,-58.5,38.0,-68.75,0.4
2025-06-17,1h_L75,21865.5,2025-06-16,5m_L50,21866.25,0.75,1,continuation,-58.5,38.0,-68.75,0.4
2025-06-18,1h_L50,21752.5,2025-06-13,5m_L50,21753.25,0.75,1,continuation,25.5,94.0,-21.75,0.4
2025-06-18,1h_L100,21801.5,2025-06-17,5m_L0,21802.5,1.0,1,continuation,25.5,94.0,-21.75,0.4
2025-06-23,1h_L0,21758.5,2025-06-13,5m_L75,21761.125,2.625,1,continuation,-84.5,92.75,-186.75,0.4
