today_1h_level,prior_5m_level,count,avg_move,median_move,abs_avg_move
1h_L100,5m_L25,10,-50.625,24.5,184.525
1h_L0,5m_L75,10,-107.95,-80.125,138.65
1h_L25,5m_L75,10,-23.25,-25.375,138.6
1h_L25,5m_L50,15,28.533333333333335,62.25,130.33333333333334
1h_L100,5m_L75,15,-43.7,-27.0,123.96666666666667
1h_L50,5m_L25,21,25.88095238095238,63.25,123.16666666666667
1h_L50,5m_L75,18,40.5,72.0,120.33333333333333
1h_L0,5m_L100,16,-28.375,-49.625,118.8125
1h_L75,5m_L50,13,-43.42307692307692,-9.5,115.53846153846153
1h_L50,5m_L100,10,-34.825,8.25,110.425
1h_L100,5m_L0,14,11.464285714285714,18.0,107.0
1h_L75,5m_L0,14,-33.5,-14.625,103.92857142857143
1h_L100,5m_L100,22,-36.77272727272727,-15.0,100.63636363636364
1h_L100,5m_L50,13,-38.0,5.25,99.73076923076923
1h_L0,5m_L0,15,51.68333333333333,29.75,97.05
1h_L0,5m_L25,11,-31.15909090909091,-63.25,92.97727272727273
1h_L25,5m_L25,17,4.073529411764706,14.5,90.07352941176471
1h_L75,5m_L75,19,33.10526315789474,51.0,87.07894736842105
1h_L50,5m_L50,24,60.0625,48.5,80.91666666666667
1h_L75,5m_L100,16,29.25,40.375,80.75
1h_L0,5m_L50,11,38.61363636363637,32.25,74.61363636363636
1h_L25,5m_L0,16,8.796875,31.75,67.828125
1h_L75,5m_L25,15,1.4666666666666666,-14.25,67.46666666666667
1h_L25,5m_L100,14,10.071428571428571,14.5,66.07142857142857
1h_L50,5m_L0,17,-11.044117647058824,6.5,60.36764705882353
