today,prior,src,level,level_price,first_touch_ts,first_touch_hour,px_at_touch,react_close_60m,react_mfe,react_mae,reversed
2025-05-05,2025-05-02,1h,L0,20019.5,2025-05-05 10:33:00-04:00,10,20033.25,20089.0,91.0,-24.25,True
2025-05-05,2025-05-02,1h,L25,20050.0,2025-05-05 10:04:00-04:00,10,20057.25,20115.75,61.0,-48.25,True
2025-05-05,2025-05-02,1h,L50,20080.5,2025-05-05 10:00:00-04:00,10,20092.25,20105.5,23.25,-83.25,True
2025-05-05,2025-05-02,1h,L75,20111.0,2025-05-05 10:01:00-04:00,10,20106.0,20113.25,9.5,-97.0,False
2025-05-05,2025-05-02,1h,L100,20141.5,2025-05-05 12:28:00-04:00,12,20135.0,20130.25,11.0,-29.0,False
2025-05-05,2025-05-02,5m,L0,20046.25,2025-05-05 10:05:00-04:00,10,20064.75,20110.5,53.5,-55.75,True
2025-05-05,2025-05-02,5m,L25,20063.5625,2025-05-05 10:00:00-04:00,10,20092.25,20105.5,23.25,-83.25,True
2025-05-05,2025-05-02,5m,L50,20080.875,2025-05-05 10:00:00-04:00,10,20092.25,20105.5,23.25,-83.25,True
2025-05-05,2025-05-02,5m,L75,20098.1875,2025-05-05 10:00:00-04:00,10,20092.25,20105.5,23.25,-83.25,False
2025-05-05,2025-05-02,5m,L100,20115.5,2025-05-05 10:01:00-04:00,10,20106.0,20113.25,9.5,-97.0,False
2025-05-06,2025-05-02,1h,L0,20019.5,2025-05-06 12:14:00-04:00,12,20006.0,19901.75,21.0,-145.75,False
2025-05-06,2025-05-05,1h,L0,19985.25,2025-05-06 12:13:00-04:00,12,19988.0,19903.0,39.0,-127.75,False
2025-05-06,2025-05-05,1h,L25,20006.75,2025-05-06 12:14:00-04:00,12,20006.0,19901.75,21.0,-145.75,False
2025-05-06,2025-05-05,1h,L50,20028.25,2025-05-06 12:14:00-04:00,12,20006.0,19901.75,21.0,-145.75,True
2025-05-06,2025-05-05,5m,L0,20022.75,2025-05-06 12:14:00-04:00,12,20006.0,19901.75,21.0,-145.75,False
2025-05-07,2025-05-02,1h,L0,20019.5,2025-05-07 15:42:00-04:00,15,20008.0,19950.0,47.0,-169.0,False
2025-05-07,2025-05-02,1h,L25,20050.0,2025-05-07 15:43:00-04:00,15,20023.5,19950.0,31.5,-184.5,False
2025-05-07,2025-05-02,5m,L0,20046.25,2025-05-07 15:43:00-04:00,15,20023.5,19950.0,31.5,-184.5,False
2025-05-07,2025-05-05,1h,L0,19985.25,2025-05-07 15:42:00-04:00,15,20008.0,19950.0,47.0,-169.0,False
2025-05-07,2025-05-05,1h,L25,20006.75,2025-05-07 15:42:00-04:00,15,20008.0,19950.0,47.0,-169.0,False
