category,date,ten_open,post_10_13_move,MFE,MAE,chop_score,continuation
best_alignment_winner,2025-11-20,25275.25,-880.25,34.75,-967.0,0.4,continuation
best_alignment_winner,2025-10-10,25357.25,-699.25,14.0,-709.5,0.4,reversal
best_alignment_winner,2026-01-02,25733.75,-409.75,46.25,-439.75,0.0,reversal
best_alignment_winner,2026-02-12,25208.25,-382.75,52.0,-402.75,0.0,continuation
best_alignment_winner,2026-03-09,24371.25,337.75,378.75,-47.75,0.4,reversal
worst_alignment_failure,2025-11-10,25637.25,-2.25,29.25,-185.0,0.0,continuation
worst_alignment_failure,2026-03-12,24658.75,3.0,91.25,-97.75,0.0,continuation
worst_alignment_failure,2025-09-30,24788.0,-4.5,76.0,-41.75,0.4,reversal
worst_alignment_failure,2025-09-09,23816.0,5.25,34.75,-89.5,0.4,continuation
worst_alignment_failure,2026-01-06,25753.25,6.5,32.5,-114.25,0.4,continuation
best_nonalignment_trend,2026-03-05,25185.25,-378.5,23.0,-400.0,0.4,continuation
best_nonalignment_trend,2026-02-04,25196.75,-322.5,109.0,-412.75,0.0,continuation
best_nonalignment_trend,2025-10-14,24575.25,316.75,372.0,-20.75,0.0,reversal
best_nonalignment_trend,2025-11-14,24953.0,251.0,340.5,-90.5,0.0,continuation
best_nonalignment_trend,2025-11-13,25382.0,-245.25,115.0,-256.25,0.4,continuation
choppiest_nonalignment,2025-08-01,22879.75,-0.5,165.75,-80.5,0.4,continuation
choppiest_nonalignment,2025-05-28,21467.0,-2.25,20.75,-40.75,0.0,continuation
choppiest_nonalignment,2025-06-11,21980.75,-3.0,86.0,-73.5,0.4,reversal
choppiest_nonalignment,2025-11-27,25296.25,3.5,11.5,-10.5,0.4,continuation
choppiest_nonalignment,2025-05-26,21279.75,4.75,16.5,-64.25,0.4,reversal
