src,first_touch_hour,n,reversal_rate,avg_react_mfe,avg_react_mae
1h,10,1071,0.5546218487394958,70.0046685340803,-82.89449112978525
1h,11,249,0.5461847389558233,64.17168674698796,-89.36947791164658
1h,12,128,0.453125,71.484375,-67.400390625
1h,13,119,0.4789915966386555,74.13025210084034,-73.6344537815126
1h,14,93,0.6236559139784946,77.22849462365592,-59.336021505376344
1h,15,86,0.5581395348837209,63.468023255813954,-47.645348837209305
5m,10,1149,0.5604873803307223,69.25108790252393,-87.29895561357702
5m,11,233,0.5536480686695279,59.723175965665234,-82.67274678111588
5m,12,106,0.5283018867924528,97.43396226415095,-65.96462264150944
5m,13,126,0.46825396825396826,73.86111111111111,-71.65277777777777
5m,14,85,0.5411764705882353,75.38823529411765,-63.03823529411765
5m,15,98,0.5408163265306123,67.42091836734694,-48.46173469387755
