src,level,first_touch_hour,n,reversal_rate
1h,L0,10,181,0.5027624309392266
1h,L0,11,52,0.5961538461538461
1h,L0,12,26,0.38461538461538464
1h,L0,13,24,0.4166666666666667
1h,L0,14,15,0.7333333333333333
1h,L0,15,15,0.6
1h,L100,10,223,0.3811659192825112
1h,L100,11,49,0.2857142857142857
1h,L100,12,36,0.25
1h,L100,13,22,0.22727272727272727
1h,L100,14,28,0.4642857142857143
1h,L100,15,10,0.5
1h,L25,10,204,0.5245098039215687
1h,L25,11,41,0.4146341463414634
1h,L25,12,25,0.48
1h,L25,13,23,0.5652173913043478
1h,L25,14,17,0.6470588235294118
1h,L25,15,21,0.5714285714285714
1h,L50,10,233,0.9656652360515021
1h,L50,11,57,0.8947368421052632
1h,L50,12,19,0.9473684210526315
1h,L50,13,22,0.9090909090909091
1h,L50,14,15,0.9333333333333333
1h,L50,15,19,0.9473684210526315
1h,L75,10,230,0.3739130434782609
1h,L75,11,50,0.46
1h,L75,12,22,0.4090909090909091
1h,L75,13,28,0.32142857142857145
1h,L75,14,18,0.5
1h,L75,15,21,0.19047619047619047
5m,L0,10,229,0.537117903930131
5m,L0,11,42,0.6428571428571429
5m,L0,12,20,0.5
5m,L0,13,26,0.4230769230769231
5m,L0,14,17,0.5294117647058824
5m,L0,15,22,0.5909090909090909
5m,L100,10,234,0.39316239316239315
5m,L100,11,49,0.30612244897959184
5m,L100,12,22,0.22727272727272727
5m,L100,13,28,0.25
5m,L100,14,16,0.3125
5m,L100,15,18,0.3333333333333333
5m,L25,10,225,0.5066666666666667
5m,L25,11,46,0.5
5m,L25,12,21,0.5714285714285714
5m,L25,13,26,0.5384615384615384
5m,L25,14,17,0.5294117647058824
5m,L25,15,22,0.5909090909090909
5m,L50,10,232,0.9612068965517241
5m,L50,11,43,0.9534883720930233
5m,L50,12,24,0.9583333333333334
5m,L50,13,20,0.95
5m,L50,14,19,0.9473684210526315
5m,L50,15,19,0.9473684210526315
5m,L75,10,229,0.4017467248908297
5m,L75,11,53,0.4339622641509434
5m,L75,12,19,0.3157894736842105
5m,L75,13,26,0.3076923076923077
5m,L75,14,16,0.3125
5m,L75,15,17,0.17647058823529413
