date,bias,entry_ts,entry_hour,entry_px,stop_px,stop_dist_pts,t1_px,t2_px,t1_dist_pts,t2_dist_pts,t1_R_multiple,t2_R_multiple,t1_outcome,t1_pnl,t1_minutes_held,t2_outcome,t2_pnl,t2_minutes_held,minutes_to_sweep,minutes_to_reclaim
2025-05-02,-1,2025-05-02 10:04:00-04:00,10,20109.25,20140.0,30.75,20046.25,20019.5,63.0,89.75,2.048780487804878,2.9186991869918697,stop,-30.75,6,stop,-30.75,6,13,14
2025-05-05,1,2025-05-05 09:52:00-04:00,9,20028.75,20006.25,22.5,20061.5,20071.25,32.75,42.5,1.4555555555555555,1.8888888888888888,target,32.75,5,target,42.5,5,1,2
2025-05-06,-1,2025-05-06 10:17:00-04:00,10,19857.25,19875.75,18.5,19797.0,19746.75,60.25,110.5,3.2567567567567566,5.972972972972973,stop,-18.5,3,stop,-18.5,3,27,27
2025-05-07,1,2025-05-07 12:41:00-04:00,12,19859.0,19782.75,76.25,19936.5,19944.75,77.5,85.75,1.0163934426229508,1.1245901639344262,stop,-76.25,85,stop,-76.25,85,64,171
2025-05-08,-1,2025-05-08 11:21:00-04:00,11,20116.0,20139.0,23.0,20061.0,20061.0,55.0,55.0,2.391304347826087,2.391304347826087,stop,-23.0,2,stop,-23.0,2,90,91
2025-05-09,1,2025-05-09 09:54:00-04:00,9,20228.25,20202.5,25.75,20250.0,20279.75,21.75,51.5,0.8446601941747572,2.0,target,21.75,4,stop,-25.75,25,2,4
2025-05-12,-1,2025-05-12 09:50:00-04:00,9,20800.5,20812.0,11.5,20754.25,20746.5,46.25,54.0,4.021739130434782,4.695652173913044,stop,-11.5,2,stop,-11.5,2,0,0
2025-05-14,1,2025-05-14 09:56:00-04:00,9,21291.25,21270.75,20.5,21345.5,21404.75,54.25,113.5,2.6463414634146343,5.536585365853658,target,54.25,10,target,113.5,156,6,6
2025-05-16,1,2025-05-16 10:01:00-04:00,10,21418.0,21388.0,30.0,21440.25,21504.5,22.25,86.5,0.7416666666666667,2.8833333333333333,target,22.25,4,stop,-30.0,33,10,11
2025-05-20,-1,2025-05-20 09:56:00-04:00,9,21408.0,21434.0,26.0,21358.0,21354.0,50.0,54.0,1.9230769230769231,2.076923076923077,stop,-26.0,43,stop,-26.0,43,3,6
2025-05-26,1,2025-05-26 09:51:00-04:00,9,21293.0,21282.0,11.0,21305.0,21307.75,12.0,14.75,1.0909090909090908,1.3409090909090908,stop,-11.0,3,stop,-11.0,3,0,1
2025-05-29,-1,2025-05-29 09:52:00-04:00,9,21526.0,21544.5,18.5,21486.75,21485.5,39.25,40.5,2.1216216216216215,2.189189189189189,stop,-18.5,1,stop,-18.5,1,2,2
2025-05-30,-1,2025-05-30 11:18:00-04:00,11,21325.25,21401.5,76.25,21286.25,21234.75,39.0,90.5,0.5114754098360655,1.1868852459016392,target,39.0,59,target,90.5,69,15,88
2025-06-02,1,2025-06-02 10:26:00-04:00,10,21374.5,21232.5,142.0,21435.5,21458.0,61.0,83.5,0.4295774647887324,0.5880281690140845,target,61.0,85,target,83.5,155,0,36
2025-06-03,1,2025-06-03 09:50:00-04:00,9,21571.0,21544.25,26.75,21599.25,21606.0,28.25,35.0,1.0560747663551402,1.308411214953271,target,28.25,7,target,35.0,7,0,0
2025-06-04,1,2025-06-04 09:52:00-04:00,9,21752.5,21728.75,23.75,21786.5,21793.5,34.0,41.0,1.431578947368421,1.7263157894736842,stop,-23.75,8,stop,-23.75,8,1,2
2025-06-05,-1,2025-06-05 10:31:00-04:00,10,21779.75,21806.5,26.75,21691.75,21691.75,88.0,88.0,3.289719626168224,3.289719626168224,stop,-26.75,7,stop,-26.75,7,35,41
2025-06-06,1,2025-06-06 09:54:00-04:00,9,21838.0,21831.0,7.0,21863.5,21863.5,25.5,25.5,3.642857142857143,3.642857142857143,stop,-7.0,1,stop,-7.0,1,4,4
2025-06-09,-1,2025-06-09 09:50:00-04:00,9,21803.5,21812.75,9.25,21776.75,21750.25,26.75,53.25,2.891891891891892,5.756756756756757,stop,-9.25,2,stop,-9.25,2,0,0
2025-06-10,1,2025-06-10 09:57:00-04:00,9,21853.0,21837.75,15.25,21875.5,21893.25,22.5,40.25,1.4754098360655739,2.639344262295082,target,22.5,4,stop,-15.25,94,7,7
2025-06-11,-1,2025-06-11 09:58:00-04:00,9,21974.75,22000.5,25.75,21915.0,21915.0,59.75,59.75,2.320388349514563,2.320388349514563,stop,-25.75,11,stop,-25.75,11,1,8
