team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
Houston,124.4,85.9,.9861,62.4,38.50,52.7,43.4,14.2,22.7,38.0,29.2,27.0,35.3,+4.2,.7741,2025-02-02
Auburn,130.1,91.9,.9820,69.2,38.20,56.4,44.7,13.8,17.5,36.7,29.2,30.5,37.2,+9.0,.8034,2025-02-02
Duke,123.1,89.1,.9761,66.6,34.00,56.3,43.6,15.4,18.0,34.9,25.1,32.7,25.5,+5.1,.7025,2025-02-02
Tennessee,114.8,86.2,.9643,65.1,28.60,51.7,42.0,16.3,20.4,38.4,30.2,31.6,26.6,+4.8,.7569,2025-02-02
Alabama,125.0,95.4,.9573,75.3,29.60,55.6,45.9,17.3,13.7,36.7,29.7,42.5,31.0,+7.1,.8319,2025-02-02
Florida,121.5,92.7,.9571,70.3,28.80,53.1,43.1,15.7,18.1,40.4,28.9,31.5,29.5,+4.2,.7453,2025-02-02
Illinois,119.3,91.6,.9542,73.4,27.70,51.8,44.0,16.2,13.4,36.7,24.2,36.4,26.3,+2.3,.7618,2025-02-02
Texas Tech,123.9,95.8,.9506,66.4,28.10,56.7,47.1,16.1,19.0,36.4,28.8,30.7,33.1,+3.2,.7274,2025-02-02
Iowa St.,119.2,92.9,.9466,70.3,26.30,54.7,48.0,15.6,22.2,33.6,27.6,39.2,26.9,+3.9,.7326,2025-02-02
Purdue,122.6,96.0,.9435,66.3,26.60,56.5,50.1,16.1,20.0,30.0,30.4,37.5,27.4,+4.5,.7976,2025-02-02
Kansas,115.5,90.6,.9423,69.6,24.90,53.3,44.3,15.9,16.5,31.1,26.7,23.7,29.0,+3.4,.7851,2025-02-02
Maryland,119.0,93.6,.9403,70.7,25.40,55.1,47.4,14.6,21.1,32.4,26.7,30.7,26.8,+2.4,.6956,2025-02-02
Arizona,120.3,94.7,.9400,70.6,25.60,53.1,47.0,16.2,18.6,36.4,28.3,35.9,28.7,+2.7,.78,2025-02-02
Gonzaga,123.7,98.0,.9362,71.3,25.70,56.3,48.2,13.7,18.0,33.8,26.1,31.0,29.0,+0.17,.6567,2025-02-02
Kentucky,125.1,99.6,.9322,71.7,25.50,56.5,48.7,14.6,13.9,30.9,27.4,34.2,30.1,+3.3,.7705,2025-02-02
Michigan,118.7,94.7,.9311,70.9,24.00,58.0,46.2,20.6,17.7,34.2,29.5,36.4,29.2,+2.8,.7877,2025-02-02
Michigan St.,116.6,93.5,.9266,69.5,23.10,51.8,45.7,17.1,17.1,36.7,26.0,39.0,31.2,+3.8,.748,2025-02-02
St. John's,111.3,89.4,.9261,71.0,21.90,49.9,45.8,15.8,22.2,37.0,28.6,30.1,29.5,+3.1,.6834,2025-02-02
Wisconsin,122.5,98.6,.9237,68.7,23.90,55.1,47.8,14.9,15.2,28.6,27.0,35.7,29.0,+3.6,.7414,2025-02-02
