team,adj_o,adj_d,barthag,tempo,rating,off_efg,def_efg,off_to,def_to,off_or,def_or,off_ftr,def_ftr,wab,sos,snapshot_date
UC Santa Barbara,116.38,111.1,0.630331,64.17,5.28,56.2,54.4,18.5,18.4,32.8,26.0,36.9,42.2,-4.474,0,2026-02-14
Arkansas Pine Bluff,105.82,114.03,0.297595,70.01,-8.21,49.6,52.9,19.1,16.0,27.6,34.8,38.0,45.3,-7.323,0,2026-02-14
Toledo,111.7,111.53,0.504562,68.56,0.18,53.2,54.7,15.3,18.7,29.9,35.7,33.9,27.2,-7.688,0,2026-02-14
Indiana,124.25,100.42,0.920433,66.85,23.83,56.2,47.0,14.8,15.7,28.5,29.0,36.6,37.9,1.418,0,2026-02-14
Louisiana,100.64,111.37,0.237822,62.69,-10.73,47.8,51.8,17.9,17.9,27.9,31.7,27.2,45.8,-13.253,0,2026-02-14
Central Michigan,105.59,115.69,0.259052,66.97,-10.1,50.8,54.8,17.9,16.0,28.9,34.5,31.0,40.6,-12.361,0,2026-02-14
Brown,95.13,104.87,0.245965,66.24,-9.73,47.0,50.2,18.5,18.5,29.0,29.4,27.1,36.4,-12.226,0,2026-02-14
Wright St.,112.84,107.84,0.627222,66.37,4.99,53.6,52.4,16.2,17.1,33.0,30.2,36.9,33.8,-6.449,0,2026-02-14
UC Irvine,103.41,98.5,0.636144,68.75,4.9,48.3,44.9,17.4,18.7,30.3,32.5,37.1,29.2,-5.165,0,2026-02-14
Montana,106.83,105.01,0.54931,69.44,1.82,56.5,50.7,20.2,15.3,22.6,30.2,36.6,32.7,-6.626,0,2026-02-14
UAB,108.64,105.66,0.579306,69.69,2.98,48.2,50.1,12.6,16.6,33.2,27.2,37.3,30.0,-4.417,0,2026-02-14
Tulane,107.22,108.9,0.455184,67.06,-1.69,50.1,50.6,15.6,17.8,22.2,35.5,46.7,38.0,-6.291,0,2026-02-14
FIU,107.33,108.48,0.469135,72.19,-1.16,50.2,52.1,16.9,19.7,32.2,35.8,39.5,34.5,-8.772,0,2026-02-14
BYU,125.76,103.15,0.907133,70.12,22.61,55.7,49.8,14.8,16.4,35.4,28.8,35.6,28.9,3.869,0,2026-02-14
Illinois Chicago,107.84,103.37,0.619277,66.17,4.47,48.1,50.0,17.8,20.3,36.7,34.1,38.4,35.7,-6.935,0,2026-02-14
Xavier,112.94,104.58,0.707887,70.62,8.37,51.0,52.8,14.1,16.7,26.0,29.1,27.8,34.0,-3.015,0,2026-02-14
Charlotte,112.31,112.52,0.494533,63.51,-0.21,53.1,51.2,18.5,14.6,35.0,32.0,39.0,39.9,-6.572,0,2026-02-14
Canisius,95.31,114.46,0.108639,63.96,-19.14,46.4,53.5,19.7,16.6,29.8,30.1,31.3,34.3,-15.024,0,2026-02-14
Wake Forest,115.74,103.66,0.780303,68.9,12.08,52.9,52.1,15.7,19.6,30.0,33.2,33.6,37.3,-2.769,0,2026-02-14
Florida Atlantic,111.35,105.21,0.657447,70.56,6.14,52.7,50.4,18.0,16.3,33.1,28.2,33.5,37.0,-5.812,0,2026-02-14
Northeastern,107.57,118.14,0.253901,69.73,-10.57,52.7,56.5,16.6,17.7,27.3,32.5,30.3,39.8,-13.994,0,2026-02-14
Robert Morris,109.29,111.36,0.446368,65.03,-2.07,54.3,51.1,18.7,15.7,37.6,28.4,28.1,43.1,-6.476,0,2026-02-14
Seattle,101.7,96.76,0.639317,68.15,4.94,49.7,48.2,17.5,20.8,24.7,32.9,32.7,32.9,-4.834,0,2026-02-14
Villanova,120.57,99.45,0.901513,63.9,21.12,54.4,50.6,15.6,19.0,35.0,32.1,33.0,29.1,3.232,0,2026-02-14
Howard,99.48,105.46,0.338161,68.93,-5.98,48.4,48.5,20.4,21.3,34.8,32.8,42.2,41.1,-7.17,0,2026-02-14
Utah St.,123.29,101.26,0.905862,68.11,22.03,57.8,48.5,16.1,21.0,35.5,31.3,37.6,38.7,3.242,0,2026-02-14
Marist,100.08,100.53,0.487232,66.24,-0.45,50.2,45.0,17.2,19.7,28.2,27.7,26.2,37.7,-6.626,0,2026-02-14
Portland St.,103.66,101.8,0.551698,67.36,1.85,52.2,47.3,18.5,18.1,31.8,27.8,37.0,45.7,-2.852,0,2026-02-14
Denver,115.19,119.49,0.396262,68.35,-4.3,53.8,55.3,14.6,12.7,29.9,33.7,33.6,34.9,-8.662,0,2026-02-14
Cal St. Northridge,109.07,109.01,0.501607,73.72,0.06,52.2,52.1,18.1,16.0,32.0,26.0,35.9,35.0,-5.944,0,2026-02-14
Maryland,112.06,107.28,0.622729,66.99,4.78,48.6,55.4,18.5,16.2,33.0,31.4,40.7,35.0,-3.058,0,2026-02-14
Rice,109.63,112.9,0.416368,65.43,-3.27,48.5,51.2,18.0,16.3,35.5,35.2,35.5,39.8,-9.381,0,2026-02-14
Abilene Christian,100.88,107.6,0.322517,66.4,-6.73,47.2,56.1,20.6,23.3,32.3,30.8,37.2,53.3,-8.266,0,2026-02-14
Rider,96.89,120.35,0.076342,64.87,-23.46,42.6,55.2,17.8,14.1,33.6,33.7,31.4,31.4,-16.21,0,2026-02-14
Boston College,101.72,99.34,0.567539,65.93,2.38,46.8,47.4,15.5,15.4,27.5,28.7,33.2,33.8,-8.092,0,2026-02-14
Arizona,125.02,90.09,0.977431,71.5,34.93,56.0,44.6,15.7,17.9,39.5,25.7,42.2,28.6,8.297,0,2026-02-14
Penn St.,114.98,110.06,0.623109,67.39,4.92,53.1,57.7,14.5,18.2,27.2,31.7,32.3,26.3,-4.451,0,2026-02-14
Hawaii,107.33,98.83,0.720721,69.87,8.49,52.9,44.6,19.3,17.1,32.4,26.0,42.7,35.2,-2.191,0,2026-02-14
San Diego,107.65,110.45,0.426631,69.15,-2.8,50.8,54.2,17.6,19.8,28.7,36.3,26.4,38.4,-9.608,0,2026-02-14
UC Davis,107.23,108.16,0.475022,68.9,-0.94,52.5,52.5,18.3,19.6,26.7,30.9,40.2,38.5,-5.76,0,2026-02-14
LSU,117.92,105.85,0.775962,66.66,12.08,53.3,50.1,15.8,15.0,34.0,31.0,42.3,36.0,-1.982,0,2026-02-14
Fresno St.,104.61,101.69,0.580843,68.49,2.93,50.0,51.0,19.1,19.3,28.4,30.4,35.8,30.9,-6.547,0,2026-02-14
UMKC,94.71,114.91,0.097604,68.99,-20.21,46.1,55.2,19.1,16.5,28.6,35.9,29.5,32.2,-16.539,0,2026-02-14
Baylor,121.34,105.44,0.834191,68.23,15.9,54.4,50.4,16.6,15.6,37.2,32.6,36.2,29.6,-1.265,0,2026-02-14
Oral Roberts,98.86,114.36,0.15782,67.48,-15.5,47.8,54.6,18.5,14.6,27.5,33.2,34.5,40.4,-15.423,0,2026-02-14
Ohio,106.64,111.31,0.379206,69.27,-4.67,51.2,52.8,16.4,17.0,28.7,33.1,36.5,37.6,-8.369,0,2026-02-14
Winthrop,111.59,111.41,0.504707,69.14,0.18,51.1,51.6,14.6,17.2,34.0,29.0,43.6,38.2,-3.671,0,2026-02-14
Northern Illinois,97.16,109.92,0.194704,67.71,-12.77,48.1,53.9,22.1,17.3,32.6,30.8,38.3,41.2,-10.782,0,2026-02-14
Georgia Tech,107.83,106.25,0.542228,70.74,1.58,50.3,48.7,18.2,15.2,30.8,29.5,33.7,34.3,-6.865,0,2026-02-14
Kent St.,110.03,109.07,0.525153,70.84,0.96,51.9,52.3,18.9,16.1,36.6,30.0,44.2,36.6,-3.069,0,2026-02-14
High Point,115.97,108.14,0.690881,69.61,7.83,54.9,51.3,12.5,23.4,31.7,31.9,43.4,35.7,-1.923,0,2026-02-14
Weber St.,110.63,112.83,0.44377,68.81,-2.2,51.7,54.1,15.9,16.7,32.2,28.2,40.5,37.2,-8.844,0,2026-02-14
Maine,92.38,112.83,0.091187,64.82,-20.45,49.3,50.3,19.4,19.1,20.8,36.0,37.7,34.6,-17.045,0,2026-02-14
Radford,106.48,113.55,0.323057,71.27,-7.07,51.4,53.2,17.2,18.4,29.6,32.6,41.9,44.2,-9.106,0,2026-02-14
